GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_h1,CumPaidLoss_h1,BulkLoss_h1,EarnedPremDIR_h1,EarnedPremCeded_h1,EarnedPremNet_h1,Single,PostedReserve97_h1
460,Buckeye Ins Grp,1990,1996,7,127,127,0,459,209,250,0,1352
460,Buckeye Ins Grp,1990,1997,8,127,127,0,459,209,250,0,1352
460,Buckeye Ins Grp,1990,1998,9,127,127,0,459,209,250,0,1352
460,Buckeye Ins Grp,1990,1999,10,127,127,0,459,209,250,0,1352
460,Buckeye Ins Grp,1991,1991,1,155,40,71,525,222,303,0,1352
460,Buckeye Ins Grp,1991,1992,2,147,71,45,525,222,303,0,1352
460,Buckeye Ins Grp,1991,1993,3,157,87,33,525,222,303,0,1352
460,Buckeye Ins Grp,1991,1994,4,127,110,11,525,222,303,0,1352
460,Buckeye Ins Grp,1991,1995,5,116,110,0,525,222,303,0,1352
460,Buckeye Ins Grp,1991,1996,6,117,117,0,525,222,303,0,1352
460,Buckeye Ins Grp,1991,1997,7,119,119,0,525,222,303,0,1352
460,Buckeye Ins Grp,1991,1998,8,119,119,0,525,222,303,0,1352
460,Buckeye Ins Grp,1991,1999,9,119,119,0,525,222,303,0,1352
460,Buckeye Ins Grp,1991,2000,10,119,119,0,525,222,303,0,1352
460,Buckeye Ins Grp,1992,1992,1,259,-21,114,566,137,429,0,1352
460,Buckeye Ins Grp,1992,1993,2,372,149,99,566,137,429,0,1352
460,Buckeye Ins Grp,1992,1994,3,335,231,71,566,137,429,0,1352
460,Buckeye Ins Grp,1992,1995,4,255,250,0,566,137,429,0,1352
460,Buckeye Ins Grp,1992,1996,5,242,237,0,566,137,429,0,1352
460,Buckeye Ins Grp,1992,1997,6,262,262,0,566,137,429,0,1352
460,Buckeye Ins Grp,1992,1998,7,262,262,0,566,137,429,0,1352
460,Buckeye Ins Grp,1992,1999,8,262,262,0,566,137,429,0,1352
460,Buckeye Ins Grp,1992,2000,9,262,262,0,566,137,429,0,1352
460,Buckeye Ins Grp,1992,2001,10,262,262,0,566,137,429,0,1352
460,Buckeye Ins Grp,1993,1993,1,276,69,117,883,481,402,0,1352
460,Buckeye Ins Grp,1993,1994,2,366,149,144,883,481,402,0,1352
460,Buckeye Ins Grp,1993,1995,3,441,309,79,883,481,402,0,1352
460,Buckeye Ins Grp,1993,1996,4,376,374,0,883,481,402,0,1352
460,Buckeye Ins Grp,1993,1997,5,375,375,0,883,481,402,0,1352
460,Buckeye Ins Grp,1993,1998,6,375,375,0,883,481,402,0,1352
460,Buckeye Ins Grp,1993,1999,7,375,375,0,883,481,402,0,1352
460,Buckeye Ins Grp,1993,2000,8,375,375,0,883,481,402,0,1352
460,Buckeye Ins Grp,1993,2001,9,375,375,0,883,481,402,0,1352
460,Buckeye Ins Grp,1993,2002,10,375,375,0,883,481,402,0,1352
460,Buckeye Ins Grp,1994,1994,1,477,-60,343,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,1995,2,385,86,159,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,1996,3,295,139,70,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,1997,4,211,162,0,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,1998,5,210,210,0,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,1999,6,210,210,0,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,2000,7,234,209,0,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,2001,8,214,209,0,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,2002,9,209,209,0,1067,543,524,0,1352
460,Buckeye Ins Grp,1994,2003,10,209,209,0,1067,543,524,0,1352
460,Buckeye Ins Grp,1995,1995,1,607,152,359,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,1996,2,687,314,206,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,1997,3,665,395,78,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,1998,4,599,456,0,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,1999,5,601,486,0,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,2000,6,565,562,0,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,2001,7,564,564,0,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,2002,8,564,564,0,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,2003,9,564,564,0,1465,660,805,0,1352
460,Buckeye Ins Grp,1995,2004,10,564,564,0,1465,660,805,0,1352
460,Buckeye Ins Grp,1996,1996,1,751,154,434,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,1997,2,743,315,231,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,1998,3,794,508,80,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,1999,4,762,612,0,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,2000,5,706,627,0,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,2001,6,676,645,0,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,2002,7,673,645,0,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,2003,8,679,649,0,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,2004,9,649,649,0,1810,758,1052,0,1352
460,Buckeye Ins Grp,1996,2005,10,649,649,0,1810,758,1052,0,1352
460,Buckeye Ins Grp,1997,1997,1,749,166,463,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,1998,2,696,306,239,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,1999,3,664,442,65,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,2000,4,597,563,0,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,2001,5,617,576,0,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,2002,6,613,589,0,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,2003,7,589,589,0,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,2004,8,589,589,0,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,2005,9,589,589,0,1397,410,987,0,1352
460,Buckeye Ins Grp,1997,2006,10,589,589,0,1397,410,987,0,1352
558,Auto Club Ins Assn,1988,1988,1,202,0,1002,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1989,2,202,200,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1990,3,202,200,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1991,4,200,200,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1992,5,200,200,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1993,6,200,200,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1994,7,572,571,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1995,8,571,571,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1996,9,571,571,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1988,1997,10,570,570,0,1145,113,1032,0,9
558,Auto Club Ins Assn,1989,1989,1,5,0,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1990,2,97,0,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1991,3,120,0,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1992,4,0,0,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1993,5,0,0,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1994,6,378,378,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1995,7,378,378,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1996,8,378,378,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1997,9,378,378,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1989,1998,10,378,378,0,1323,148,1175,0,9
558,Auto Club Ins Assn,1990,1990,1,256,200,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1991,2,200,200,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1992,3,200,200,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1993,4,200,200,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1994,5,582,582,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1995,6,582,582,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1996,7,582,582,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1997,8,583,583,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1998,9,383,383,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1990,1999,10,383,383,0,1365,323,1042,0,9
558,Auto Club Ins Assn,1991,1991,1,44,0,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,1992,2,76,0,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,1993,3,3,0,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,1994,4,361,358,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,1995,5,361,358,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,1996,6,361,358,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,1997,7,361,357,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,1998,8,361,357,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,1999,9,361,357,0,1286,332,954,0,9
558,Auto Club Ins Assn,1991,2000,10,361,357,0,1286,332,954,0,9
558,Auto Club Ins Assn,1992,1992,1,38,0,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,1993,2,5,0,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,1994,3,507,508,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,1995,4,509,508,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,1996,5,509,508,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,1997,6,508,506,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,1998,7,508,506,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,1999,8,508,506,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,2000,9,508,506,0,1385,393,992,0,9
558,Auto Club Ins Assn,1992,2001,10,508,507,0,1385,393,992,0,9
558,Auto Club Ins Assn,1993,1993,1,0,0,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,1994,2,701,688,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,1995,3,701,688,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,1996,4,688,688,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,1997,5,688,688,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,1998,6,688,688,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,1999,7,688,688,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,2000,8,688,688,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,2001,9,689,689,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1993,2002,10,688,688,0,1564,414,1150,0,9
558,Auto Club Ins Assn,1994,1994,1,722,688,34,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,1995,2,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,1996,3,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,1997,4,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,1998,5,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,1999,6,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,2000,7,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,2001,8,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,2002,9,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1994,2003,10,722,722,0,1725,526,1199,0,9
558,Auto Club Ins Assn,1995,1995,1,753,706,47,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,1996,2,706,706,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,1997,3,708,707,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,1998,4,708,707,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,1999,5,708,707,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,2000,6,708,707,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,2001,7,707,706,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,2002,8,707,706,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,2003,9,706,706,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1995,2004,10,706,706,0,1890,604,1286,0,9
558,Auto Club Ins Assn,1996,1996,1,871,840,28,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,1997,2,1042,1010,29,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,1998,3,1039,1010,29,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,1999,4,1041,1041,0,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,2000,5,1041,1041,0,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,2001,6,1040,1040,0,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,2002,7,1039,1039,0,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,2003,8,1039,1039,0,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,2004,9,1039,1039,0,2106,696,1410,0,9
558,Auto Club Ins Assn,1996,2005,10,1039,1039,0,2106,696,1410,0,9
558,Auto Club Ins Assn,1997,1997,1,928,912,16,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,1998,2,940,912,16,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,1999,3,912,912,0,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,2000,4,919,918,0,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,2001,5,927,927,0,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,2002,6,925,923,0,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,2003,7,608,608,0,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,2004,8,941,941,0,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,2005,9,941,941,0,2373,783,1590,0,9
558,Auto Club Ins Assn,1997,2006,10,941,941,0,2373,783,1590,0,9
620,Employers Mut Co Of Des Moines,1988,1988,1,30466,2552,8923,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1989,2,25981,7260,4195,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1990,3,25958,11493,3954,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1991,4,24262,15059,9,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1992,5,22987,16970,0,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1993,6,22157,18468,0,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1994,7,20897,19873,0,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1995,8,21279,20579,0,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1996,9,21733,21565,0,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1988,1997,10,21714,21649,0,63080,12052,51028,0,168628
620,Employers Mut Co Of Des Moines,1989,1989,1,35634,3342,11101,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1990,2,33386,7904,7209,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1991,3,36898,16089,4097,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1992,4,32131,22372,1,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1993,5,33884,26139,0,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1994,6,33270,29046,0,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1995,7,32825,30325,0,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1996,8,31973,31301,0,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1997,9,31764,31375,0,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1989,1998,10,31791,31481,0,64486,12327,52159,0,168628
620,Employers Mut Co Of Des Moines,1990,1990,1,47665,4336,17252,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1991,2,46642,12537,7265,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1992,3,50198,22030,4639,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1993,4,46833,28636,0,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1994,5,47906,34401,0,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1995,6,44738,37219,0,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1996,7,42216,38590,0,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1997,8,41442,39948,0,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1998,9,41381,40562,0,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1990,1999,10,41697,40817,0,74261,11480,62781,0,168628
620,Employers Mut Co Of Des Moines,1991,1991,1,45953,5654,19235,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,1992,2,50002,12089,9646,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,1993,3,48547,20717,4386,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,1994,4,43986,30360,0,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,1995,5,41786,34324,0,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,1996,6,42287,36371,0,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,1997,7,41960,38429,0,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,1998,8,41824,40763,0,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,1999,9,41812,40928,0,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1991,2000,10,41997,41128,0,77708,9736,67972,0,168628
620,Employers Mut Co Of Des Moines,1992,1992,1,49760,4335,19975,81482,9683,71799,0,168628
620,Employers Mut Co Of Des Moines,1992,1993,2,51218,11200,10780,81482,9683,71799,0,168628
620,Employers Mut Co Of Des Moines,1992,1994,3,53828,19933,7473,81482,9683,71799,0,168628
620,Employers Mut Co Of Des Moines,1992,1995,4,46716,27454,3,81482,9683,71799,0,168628
620,Employers Mut Co Of Des Moines,1992,1996,5,45916,32801,757,81482,9683,71799,0,168628
620,Employers Mut Co Of Des Moines,1992,1997,6,45029,36666,0,81482,9683,71799,0,168628
620,Employers Mut Co Of Des Moines,1992,1998,7,43660,38835,0,81482,9683,71799,0,168628
620,Employers Mut Co Of Des Moines,1992,1999,8,42308,40188,0,81482,9683,71799,0,168628
620,Employers Mut Co Of Des Moines,1992,2000,9,42821,40677,0,81482,9683,71799,0,168628
