GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_B,CumPaidLoss_B,BulkLoss_B,EarnedPremDIR_B,EarnedPremCeded_B,EarnedPremNet_B,Single,PostedReserve97_B
43,IDS Property Cas Ins Co,1993,1993,1,24604,8343,7823,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,1994,2,32130,19900,4691,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,1995,3,33575,26732,2539,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,1996,4,32769,30079,1624,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,1997,5,33722,31249,1293,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,1998,6,32601,31907,114,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,1999,7,32464,31989,145,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,2000,8,32545,32451,0,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,2001,9,32583,32540,0,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1993,2002,10,32573,32531,0,37194,2056,35138,0,73044
43,IDS Property Cas Ins Co,1994,1994,1,40735,12565,16851,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,1995,2,43944,26922,8193,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,1996,3,42511,33867,3036,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,1997,4,41712,38338,747,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,1998,5,41381,40113,-9,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,1999,6,42360,41520,265,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,2000,7,42500,42031,257,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,2001,8,42246,42104,24,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,2002,9,42240,42187,0,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1994,2003,10,42250,42215,0,46095,3490,42605,0,73044
43,IDS Property Cas Ins Co,1995,1995,1,43064,13437,17145,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,1996,2,43705,26012,9166,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,1997,3,42909,31677,6571,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,1998,4,37789,34795,381,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,1999,5,38795,36841,501,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,2000,6,39262,38155,380,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,2001,7,39004,38776,32,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,2002,8,39136,38850,0,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,2003,9,39186,39088,0,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1995,2004,10,39162,39140,0,51512,3883,47629,0,73044
43,IDS Property Cas Ins Co,1996,1996,1,41837,12604,16780,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,1997,2,41304,23446,10786,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,1998,3,36925,28277,3767,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,1999,4,35406,31552,1155,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,2000,5,35318,33599,650,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,2001,6,35145,34689,78,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,2002,7,35346,35236,0,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,2003,8,35311,35295,0,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,2004,9,35319,35315,0,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1996,2005,10,35328,35328,0,52481,5552,46929,0,73044
43,IDS Property Cas Ins Co,1997,1997,1,44436,12292,17959,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,1998,2,41608,24431,8138,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,1999,3,38594,29766,3470,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,2000,4,37237,33516,967,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,2001,5,37251,35337,177,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,2002,6,37711,36884,179,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,2003,7,37566,37085,117,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,2004,8,37590,37180,107,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,2005,9,37448,37186,0,56978,5133,51845,0,73044
43,IDS Property Cas Ins Co,1997,2006,10,37463,37235,0,56978,5133,51845,0,73044
266,Public Underwriters Grp,1988,1988,1,63,8,15,113,0,113,0,24611
266,Public Underwriters Grp,1988,1989,2,172,72,17,113,0,113,0,24611
266,Public Underwriters Grp,1988,1990,3,156,102,9,113,0,113,0,24611
266,Public Underwriters Grp,1988,1991,4,149,101,8,113,0,113,0,24611
266,Public Underwriters Grp,1988,1992,5,148,119,8,113,0,113,0,24611
266,Public Underwriters Grp,1988,1993,6,140,140,0,113,0,113,0,24611
266,Public Underwriters Grp,1988,1994,7,143,143,0,113,0,113,0,24611
266,Public Underwriters Grp,1988,1995,8,143,143,0,113,0,113,0,24611
266,Public Underwriters Grp,1988,1996,9,143,143,0,113,0,113,0,24611
266,Public Underwriters Grp,1988,1997,10,143,143,0,113,0,113,0,24611
266,Public Underwriters Grp,1989,1989,1,3290,879,550,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1990,2,3173,2508,106,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1991,3,3446,3236,34,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1992,4,3590,3455,25,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1993,5,3535,3524,1,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1994,6,3532,3525,1,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1995,7,3532,3530,0,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1996,8,3531,3530,0,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1997,9,3535,3534,0,5238,0,5238,0,24611
266,Public Underwriters Grp,1989,1998,10,3532,3532,0,5238,0,5238,0,24611
266,Public Underwriters Grp,1990,1990,1,8340,2447,1626,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1991,2,8587,6428,354,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1992,3,8916,8087,153,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1993,4,8947,8573,53,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1994,5,8952,8808,20,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1995,6,8897,8940,9,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1996,7,8951,8945,1,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1997,8,8953,8950,0,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1998,9,8950,8949,0,24999,12048,12951,0,24611
266,Public Underwriters Grp,1990,1999,10,8950,8944,3,24999,12048,12951,0,24611
266,Public Underwriters Grp,1991,1991,1,13903,4195,3534,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,1992,2,14478,10198,1128,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,1993,3,14431,12629,230,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,1994,4,14365,13662,104,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,1995,5,14280,14062,49,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,1996,6,14204,14171,5,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,1997,7,14209,14192,4,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,1998,8,14216,14195,0,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,1999,9,14207,14211,-26,55112,31380,23732,0,24611
266,Public Underwriters Grp,1991,2000,10,14208,14215,-19,55112,31380,23732,0,24611
266,Public Underwriters Grp,1992,1992,1,12873,3909,2851,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,1993,2,12197,8626,1084,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,1994,3,11888,10814,158,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,1995,4,11919,11548,58,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,1996,5,11805,11758,8,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,1997,6,11955,11941,2,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,1998,7,11946,11933,0,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,1999,8,11954,11952,-5,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,2000,9,11954,11957,-7,47764,27384,20380,0,24611
266,Public Underwriters Grp,1992,2001,10,11965,11956,4,47764,27384,20380,0,24611
266,Public Underwriters Grp,1993,1993,1,16635,4797,3866,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,1994,2,14751,11348,793,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,1995,3,14804,13548,341,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,1996,4,14671,14373,54,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,1997,5,14767,14639,23,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,1998,6,14897,14777,99,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,1999,7,14886,14891,-23,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,2000,8,14904,14899,-1,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,2001,9,14820,14845,-29,39284,16523,22761,0,24611
266,Public Underwriters Grp,1993,2002,10,14774,14850,-76,39284,16523,22761,0,24611
266,Public Underwriters Grp,1994,1994,1,20728,7366,3564,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,1995,2,21719,16528,1601,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,1996,3,21090,19477,245,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,1997,4,21428,20642,235,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,1998,5,21738,21087,392,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,1999,6,21483,21409,-14,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,2000,7,21535,21480,9,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,2001,8,21502,21507,-19,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,2002,9,21512,21507,5,52284,22402,29882,0,24611
266,Public Underwriters Grp,1994,2003,10,21449,21514,-65,52284,22402,29882,0,24611
266,Public Underwriters Grp,1995,1995,1,25190,9917,4571,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,1996,2,24281,20464,633,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,1997,3,25574,24230,288,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,1998,4,26680,25435,840,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,1999,5,25982,25691,116,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,2000,6,25967,25855,28,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,2001,7,25803,25869,-86,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,2002,8,25811,25901,-96,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,2003,9,25830,25907,-77,67196,28615,38581,0,24611
266,Public Underwriters Grp,1995,2004,10,25922,25922,0,67196,28615,38581,0,24611
266,Public Underwriters Grp,1996,1996,1,17623,6712,3476,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,1997,2,18085,14836,1596,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,1998,3,19530,17519,1372,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,1999,4,18392,18311,-115,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,2000,5,18474,18472,-59,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,2001,6,18487,18464,-15,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,2002,7,18495,18505,-30,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,2003,8,18507,18502,-7,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,2004,9,18478,18478,0,68988,35316,33672,0,24611
266,Public Underwriters Grp,1996,2005,10,18493,18493,0,68988,35316,33672,0,24611
266,Public Underwriters Grp,1997,1997,1,27108,10045,6722,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,1998,2,38150,26809,6481,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,1999,3,35096,33578,382,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,2000,4,34686,34663,-241,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,2001,5,34839,34941,-198,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,2002,6,34966,35050,-134,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,2003,7,35026,35089,-90,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,2004,8,35120,35123,-3,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,2005,9,35216,35216,0,131650,80385,51265,0,24611
266,Public Underwriters Grp,1997,2006,10,35216,35216,0,131650,80385,51265,0,24611
353,Celina Mut Grp,1988,1988,1,12705,4339,3586,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1989,2,12990,9617,1243,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1990,3,12728,11584,291,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1991,4,12730,12001,37,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1992,5,13020,12640,1,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1993,6,13077,12966,6,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1994,7,13098,13058,15,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1995,8,13181,13080,1,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1996,9,13178,13182,-4,18793,4797,13996,0,11598
353,Celina Mut Grp,1988,1997,10,13178,13183,-5,18793,4797,13996,0,11598
353,Celina Mut Grp,1989,1989,1,11245,4445,3528,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1990,2,11379,9090,641,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1991,3,12109,11125,231,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1992,4,12220,11815,41,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1993,5,12344,12027,20,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1994,6,12541,12078,11,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1995,7,12624,12626,-6,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1996,8,12637,12626,2,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1997,9,12635,12627,0,18948,5448,13501,0,11598
353,Celina Mut Grp,1989,1998,10,12631,12627,-2,18948,5448,13501,0,11598
353,Celina Mut Grp,1990,1990,1,13223,6123,4350,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1991,2,13045,10564,808,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1992,3,13666,12290,174,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1993,4,14407,13579,53,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1994,5,14448,14063,37,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1995,6,14516,14412,11,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1996,7,14499,14488,6,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1997,8,14491,14497,-6,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1998,9,14487,14492,-5,20527,4885,15642,0,11598
353,Celina Mut Grp,1990,1999,10,14487,14490,-4,20527,4885,15642,0,11598
353,Celina Mut Grp,1991,1991,1,12254,5464,4264,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,1992,2,12001,9537,872,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,1993,3,12345,11481,158,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,1994,4,12892,12335,212,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,1995,5,12890,12699,136,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,1996,6,12752,12721,32,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,1997,7,12717,12725,-8,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,1998,8,12729,12725,-4,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,1999,9,12732,12730,-4,21278,5150,16128,0,11598
353,Celina Mut Grp,1991,2000,10,12744,12742,0,21278,5150,16128,0,11598
353,Celina Mut Grp,1992,1992,1,11882,5113,4427,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,1993,2,11582,8527,1336,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,1994,3,11815,10344,705,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,1995,4,12043,11381,236,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,1996,5,12146,11742,170,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,1997,6,12187,12036,72,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,1998,7,12129,12036,68,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,1999,8,12070,12075,-5,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,2000,9,12071,12075,-4,20779,5423,15357,0,11598
353,Celina Mut Grp,1992,2001,10,12073,12075,-2,20779,5423,15357,0,11598
353,Celina Mut Grp,1993,1993,1,14906,6540,4341,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,1994,2,15174,11810,1141,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,1995,3,15981,14533,572,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,1996,4,16062,14998,186,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,1997,5,16172,15890,105,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,1998,6,16150,15971,68,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,1999,7,16164,16129,-5,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,2000,8,16134,16127,-1,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,2001,9,16138,16129,1,23212,3902,19310,0,11598
353,Celina Mut Grp,1993,2002,10,16127,16130,-4,23212,3902,19310,0,11598
353,Celina Mut Grp,1994,1994,1,12532,5781,3373,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,1995,2,12481,9519,1166,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,1996,3,12530,10929,680,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,1997,4,12387,11356,615,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,1998,5,11985,11587,335,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,1999,6,11675,11632,43,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,2000,7,11658,11627,4,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,2001,8,11623,11628,-5,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,2002,9,11620,11624,-4,22219,6267,15952,0,11598
353,Celina Mut Grp,1994,2003,10,11619,11621,-2,22219,6267,15952,0,11598
353,Celina Mut Grp,1995,1995,1,10639,4356,4002,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,1996,2,9879,6779,1580,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,1997,3,9947,8199,952,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,1998,4,10012,9213,410,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,1999,5,9774,9611,93,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,2000,6,9758,9660,38,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,2001,7,9765,9662,4,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,2002,8,9766,9726,5,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,2003,9,9712,9716,-4,18314,4601,13714,0,11598
353,Celina Mut Grp,1995,2004,10,9712,9715,-3,18314,4601,13714,0,11598
353,Celina Mut Grp,1996,1996,1,11804,5250,3691,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,1997,2,11612,8967,1395,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,1998,3,11606,10558,515,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,1999,4,11469,11057,330,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,2000,5,11252,11131,71,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,2001,6,11200,11128,27,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,2002,7,11187,11193,-6,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,2003,8,11183,11188,-5,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,2004,9,11180,11184,-4,17043,1297,15746,0,11598
353,Celina Mut Grp,1996,2005,10,11177,11180,-3,17043,1297,15746,0,11598
353,Celina Mut Grp,1997,1997,1,10455,5743,1829,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,1998,2,11690,9702,621,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,1999,3,11874,11120,254,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,2000,4,11884,11559,205,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,2001,5,11741,11678,42,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,2002,6,11709,11681,7,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,2003,7,11725,11721,4,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,2004,8,11704,11708,-4,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,2005,9,11704,11707,-3,19217,3502,15715,0,11598
353,Celina Mut Grp,1997,2006,10,11702,11704,-2,19217,3502,15715,0,11598
388,Federal Ins Co Grp,1988,1988,1,71304,13440,17585,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1989,2,73637,35680,9140,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1990,3,68437,48703,5483,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1991,4,67656,56319,2979,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1992,5,65971,61018,1668,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1993,6,65617,61119,339,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1994,7,64486,63049,565,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1995,8,64583,63556,379,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1996,9,64529,63744,369,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1988,1997,10,64137,63835,0,96859,13386,83473,0,158631
388,Federal Ins Co Grp,1989,1989,1,74039,18757,14143,108024,16224,91800,0,158631
388,Federal Ins Co Grp,1989,1990,2,78485,44166,7867,108024,16224,91800,0,158631
388,Federal Ins Co Grp,1989,1991,3,77765,57578,3462,108024,16224,91800,0,158631
388,Federal Ins Co Grp,1989,1992,4,77995,66264,2501,108024,16224,91800,0,158631
388,Federal Ins Co Grp,1989,1993,5,78006,65600,2202,108024,16224,91800,0,158631
