GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_R1,CumPaidLoss_R1,BulkLoss_R1,EarnedPremDIR_R1,EarnedPremCeded_R1,EarnedPremNet_R1,Single,PostedReserve97_R1
78,Federated Mut Grp,1990,1997,8,23029,22477,207,28309,0,28309,0,86660
78,Federated Mut Grp,1990,1998,9,23473,22742,274,28309,0,28309,0,86660
78,Federated Mut Grp,1990,1999,10,23980,23279,263,28309,0,28309,0,86660
78,Federated Mut Grp,1991,1991,1,33708,3872,21829,28091,0,28091,0,86660
78,Federated Mut Grp,1991,1992,2,33133,8137,14359,28091,0,28091,0,86660
78,Federated Mut Grp,1991,1993,3,37160,14577,10273,28091,0,28091,0,86660
78,Federated Mut Grp,1991,1994,4,35228,18071,7823,28091,0,28091,0,86660
78,Federated Mut Grp,1991,1995,5,31732,22125,4918,28091,0,28091,0,86660
78,Federated Mut Grp,1991,1996,6,27844,23770,1879,28091,0,28091,0,86660
78,Federated Mut Grp,1991,1997,7,28708,24559,1627,28091,0,28091,0,86660
78,Federated Mut Grp,1991,1998,8,26998,25283,643,28091,0,28091,0,86660
78,Federated Mut Grp,1991,1999,9,26701,26017,257,28091,0,28091,0,86660
78,Federated Mut Grp,1991,2000,10,26972,26380,210,28091,0,28091,0,86660
78,Federated Mut Grp,1992,1992,1,34138,4095,22308,29036,0,29036,0,86660
78,Federated Mut Grp,1992,1993,2,34659,7260,15441,29036,0,29036,0,86660
78,Federated Mut Grp,1992,1994,3,32142,11015,9781,29036,0,29036,0,86660
78,Federated Mut Grp,1992,1995,4,26767,14844,4824,29036,0,29036,0,86660
78,Federated Mut Grp,1992,1996,5,24954,19309,2625,29036,0,29036,0,86660
78,Federated Mut Grp,1992,1997,6,22684,20097,1115,29036,0,29036,0,86660
78,Federated Mut Grp,1992,1998,7,22973,20927,830,29036,0,29036,0,86660
78,Federated Mut Grp,1992,1999,8,22401,21138,474,29036,0,29036,0,86660
78,Federated Mut Grp,1992,2000,9,22490,21424,668,29036,0,29036,0,86660
78,Federated Mut Grp,1992,2001,10,22423,21658,269,29036,0,29036,0,86660
78,Federated Mut Grp,1993,1993,1,24270,2223,17324,23916,0,23916,0,86660
78,Federated Mut Grp,1993,1994,2,21161,4048,12160,23916,0,23916,0,86660
78,Federated Mut Grp,1993,1995,3,17497,6651,6296,23916,0,23916,0,86660
78,Federated Mut Grp,1993,1996,4,16132,8229,4297,23916,0,23916,0,86660
78,Federated Mut Grp,1993,1997,5,14880,9141,2896,23916,0,23916,0,86660
78,Federated Mut Grp,1993,1998,6,12910,10446,1163,23916,0,23916,0,86660
78,Federated Mut Grp,1993,1999,7,11770,11078,260,23916,0,23916,0,86660
78,Federated Mut Grp,1993,2000,8,12124,11098,603,23916,0,23916,0,86660
78,Federated Mut Grp,1993,2001,9,11914,11510,358,23916,0,23916,0,86660
78,Federated Mut Grp,1993,2002,10,12131,11598,400,23916,0,23916,0,86660
78,Federated Mut Grp,1994,1994,1,22464,2500,14609,26223,0,26223,0,86660
78,Federated Mut Grp,1994,1995,2,20527,4003,11684,26223,0,26223,0,86660
78,Federated Mut Grp,1994,1996,3,16814,6893,5147,26223,0,26223,0,86660
78,Federated Mut Grp,1994,1997,4,14073,9379,2111,26223,0,26223,0,86660
78,Federated Mut Grp,1994,1998,5,13988,11092,1462,26223,0,26223,0,86660
78,Federated Mut Grp,1994,1999,6,12883,11386,562,26223,0,26223,0,86660
78,Federated Mut Grp,1994,2000,7,12632,11602,628,26223,0,26223,0,86660
78,Federated Mut Grp,1994,2001,8,12368,11684,362,26223,0,26223,0,86660
78,Federated Mut Grp,1994,2002,9,16189,12304,1517,26223,0,26223,0,86660
78,Federated Mut Grp,1994,2003,10,15585,12353,1443,26223,0,26223,0,86660
78,Federated Mut Grp,1995,1995,1,27354,2442,19140,28379,0,28379,0,86660
78,Federated Mut Grp,1995,1996,2,23948,4657,13853,28379,0,28379,0,86660
78,Federated Mut Grp,1995,1997,3,21410,7303,9522,28379,0,28379,0,86660
78,Federated Mut Grp,1995,1998,4,13208,8380,2800,28379,0,28379,0,86660
78,Federated Mut Grp,1995,1999,5,13260,9553,1922,28379,0,28379,0,86660
78,Federated Mut Grp,1995,2000,6,12380,10170,1067,28379,0,28379,0,86660
78,Federated Mut Grp,1995,2001,7,11152,10446,446,28379,0,28379,0,86660
78,Federated Mut Grp,1995,2002,8,11357,10522,613,28379,0,28379,0,86660
78,Federated Mut Grp,1995,2003,9,12518,10618,1207,28379,0,28379,0,86660
78,Federated Mut Grp,1995,2004,10,12764,10883,951,28379,0,28379,0,86660
78,Federated Mut Grp,1996,1996,1,26411,2761,19401,29809,0,29809,0,86660
78,Federated Mut Grp,1996,1997,2,27291,4661,16467,29809,0,29809,0,86660
78,Federated Mut Grp,1996,1998,3,22349,7009,7473,29809,0,29809,0,86660
78,Federated Mut Grp,1996,1999,4,15418,10018,2617,29809,0,29809,0,86660
78,Federated Mut Grp,1996,2000,5,14573,11108,1207,29809,0,29809,0,86660
78,Federated Mut Grp,1996,2001,6,14203,12333,473,29809,0,29809,0,86660
78,Federated Mut Grp,1996,2002,7,13761,13023,470,29809,0,29809,0,86660
78,Federated Mut Grp,1996,2003,8,13923,13131,754,29809,0,29809,0,86660
78,Federated Mut Grp,1996,2004,9,14881,14071,673,29809,0,29809,0,86660
78,Federated Mut Grp,1996,2005,10,15081,14100,833,29809,0,29809,0,86660
78,Federated Mut Grp,1997,1997,1,28884,2642,20338,31953,0,31953,0,86660
78,Federated Mut Grp,1997,1998,2,24241,5027,11076,31953,0,31953,0,86660
78,Federated Mut Grp,1997,1999,3,26746,9539,7277,31953,0,31953,0,86660
78,Federated Mut Grp,1997,2000,4,26084,12343,4361,31953,0,31953,0,86660
78,Federated Mut Grp,1997,2001,5,20726,15013,1903,31953,0,31953,0,86660
78,Federated Mut Grp,1997,2002,6,18372,16282,-83,31953,0,31953,0,86660
78,Federated Mut Grp,1997,2003,7,19034,16917,1240,31953,0,31953,0,86660
78,Federated Mut Grp,1997,2004,8,18594,17105,995,31953,0,31953,0,86660
78,Federated Mut Grp,1997,2005,9,18488,17236,959,31953,0,31953,0,86660
78,Federated Mut Grp,1997,2006,10,18525,17336,939,31953,0,31953,0,86660
86,Allstate Ins Co Grp,1988,1988,1,33996,1501,23817,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1989,2,32689,3916,11623,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1990,3,44723,8834,10052,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1991,4,42312,17450,6304,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1992,5,42116,22495,5793,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1993,6,40135,28687,4058,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1994,7,38530,31311,2294,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1995,8,39451,32039,3118,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1996,9,36560,36357,94,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1988,1997,10,36566,36358,101,49182,560,48622,0,848424
86,Allstate Ins Co Grp,1989,1989,1,34495,1697,19861,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1990,2,41795,5717,15025,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1991,3,45307,10442,9517,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1992,4,41406,18125,7939,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1993,5,43248,23284,6245,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1994,6,43509,30092,3150,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1995,7,43391,34338,2772,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1996,8,41389,41094,71,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1997,9,41415,41164,65,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1989,1998,10,41406,41189,205,46729,66,46663,0,848424
86,Allstate Ins Co Grp,1990,1990,1,36100,1373,24182,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1991,2,40073,4002,15890,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1992,3,37955,10829,10563,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1993,4,40830,16695,6834,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1994,5,40288,21788,3967,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1995,6,39593,25332,3661,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1996,7,35168,34875,63,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1997,8,35449,34893,210,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1998,9,35134,35037,37,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1990,1999,10,35227,35037,131,39383,-90,39473,0,848424
86,Allstate Ins Co Grp,1991,1991,1,27252,1069,20969,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,1992,2,28778,4594,14717,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,1993,3,26356,6920,7893,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,1994,4,22923,9996,3942,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,1995,5,21376,13249,3238,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,1996,6,19620,19221,168,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,1997,7,19865,19256,407,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,1998,8,19670,19230,350,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,1999,9,19331,19232,18,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1991,2000,10,19334,19233,16,31508,-63,31571,0,848424
86,Allstate Ins Co Grp,1992,1992,1,22409,1134,17629,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,1993,2,25096,3068,13605,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,1994,3,26089,5412,5488,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,1995,4,23846,8210,3995,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,1996,5,19317,19164,129,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,1997,6,19938,19187,732,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,1998,7,19233,19190,41,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,1999,8,19453,19209,244,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,2000,9,19234,19209,25,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1992,2001,10,19213,19213,0,22369,52,22317,0,848424
86,Allstate Ins Co Grp,1993,1993,1,22585,979,16305,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,1994,2,23068,3079,10931,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,1995,3,21142,6407,5161,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,1996,4,16294,16113,135,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,1997,5,16273,16131,64,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,1998,6,16415,16148,28,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,1999,7,16553,16153,22,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,2000,8,16264,16201,28,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,2001,9,16273,16222,0,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1993,2002,10,16310,16247,25,24478,80,24398,0,848424
86,Allstate Ins Co Grp,1994,1994,1,34367,1397,25860,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,1995,2,28842,2990,10419,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,1996,3,26713,25688,189,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,1997,4,26606,26030,87,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,1998,5,26457,26165,71,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,1999,6,26684,26294,18,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,2000,7,26987,26765,74,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,2001,8,27155,27075,77,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,2002,9,27110,27085,19,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1994,2003,10,27120,27086,34,34418,147,34271,0,848424
86,Allstate Ins Co Grp,1995,1995,1,25096,1016,17425,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,1996,2,23812,21935,1294,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,1997,3,22881,22095,385,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,1998,4,23097,22388,126,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,1999,5,23416,22694,63,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,2000,6,23467,22882,120,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,2001,7,24188,23253,78,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,2002,8,24670,23969,202,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,2003,9,25316,24861,112,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1995,2004,10,25635,25216,133,26747,164,26583,0,848424
86,Allstate Ins Co Grp,1996,1996,1,10998,9852,852,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,1997,2,11608,10071,1014,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,1998,3,11450,10444,101,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,1999,4,11743,10743,63,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,2000,5,11533,11011,206,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,2001,6,11625,11037,262,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,2002,7,11930,11567,131,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,2003,8,12096,11788,234,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,2004,9,11936,11829,46,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1996,2005,10,11956,11841,19,23644,204,23440,0,848424
86,Allstate Ins Co Grp,1997,1997,1,2679,319,1320,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,1998,2,3195,964,416,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,1999,3,4683,3410,71,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,2000,4,3947,3179,245,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,2001,5,3997,3460,225,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,2002,6,4526,4006,215,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,2003,7,4851,4333,224,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,2004,8,5240,4650,115,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,2005,9,5440,4812,136,4451,1,4450,0,848424
86,Allstate Ins Co Grp,1997,2006,10,5832,5049,80,4451,1,4450,0,848424
248,Atlantic Mut Grp,1988,1988,1,0,0,81,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1989,2,56,1,52,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1990,3,85,4,28,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1991,4,36,12,19,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1992,5,20,11,2,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1993,6,20,11,2,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1994,7,11,11,0,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1995,8,11,11,0,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1996,9,12,11,1,131,1,130,0,1398
248,Atlantic Mut Grp,1988,1997,10,12,11,1,131,1,130,0,1398
248,Atlantic Mut Grp,1989,1989,1,52,0,139,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1990,2,87,1,65,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1991,3,46,2,25,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1992,4,38,21,7,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1993,5,140,139,1,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1994,6,140,139,1,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1995,7,140,139,1,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1996,8,146,139,7,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1997,9,139,139,0,109,6,103,0,1398
248,Atlantic Mut Grp,1989,1998,10,138,139,1,109,6,103,0,1398
248,Atlantic Mut Grp,1990,1990,1,108,0,108,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1991,2,105,17,58,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1992,3,183,51,25,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1993,4,227,191,5,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1994,5,242,203,19,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1995,6,245,203,22,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1996,7,246,203,23,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1997,8,197,195,2,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1998,9,197,195,2,113,3,110,0,1398
248,Atlantic Mut Grp,1990,1999,10,210,195,15,113,3,110,0,1398
248,Atlantic Mut Grp,1991,1991,1,354,1,266,112,7,105,0,1398
248,Atlantic Mut Grp,1991,1992,2,110,18,33,112,7,105,0,1398
248,Atlantic Mut Grp,1991,1993,3,26,21,5,112,7,105,0,1398
248,Atlantic Mut Grp,1991,1994,4,25,21,4,112,7,105,0,1398
248,Atlantic Mut Grp,1991,1995,5,21,21,0,112,7,105,0,1398
248,Atlantic Mut Grp,1991,1996,6,30,21,9,112,7,105,0,1398
248,Atlantic Mut Grp,1991,1997,7,21,21,0,112,7,105,0,1398
248,Atlantic Mut Grp,1991,1998,8,22,21,1,112,7,105,0,1398
248,Atlantic Mut Grp,1991,1999,9,31,21,10,112,7,105,0,1398
248,Atlantic Mut Grp,1991,2000,10,46,21,25,112,7,105,0,1398
248,Atlantic Mut Grp,1992,1992,1,43,1,42,91,2,89,0,1398
248,Atlantic Mut Grp,1992,1993,2,22,14,8,91,2,89,0,1398
248,Atlantic Mut Grp,1992,1994,3,17,14,3,91,2,89,0,1398
248,Atlantic Mut Grp,1992,1995,4,15,14,1,91,2,89,0,1398
248,Atlantic Mut Grp,1992,1996,5,18,14,4,91,2,89,0,1398
248,Atlantic Mut Grp,1992,1997,6,16,14,2,91,2,89,0,1398
248,Atlantic Mut Grp,1992,1998,7,14,14,0,91,2,89,0,1398
248,Atlantic Mut Grp,1992,1999,8,28,14,14,91,2,89,0,1398
248,Atlantic Mut Grp,1992,2000,9,22,14,8,91,2,89,0,1398
248,Atlantic Mut Grp,1992,2001,10,17,14,3,91,2,89,0,1398
248,Atlantic Mut Grp,1993,1993,1,36,0,35,75,1,74,0,1398
248,Atlantic Mut Grp,1993,1994,2,214,1,7,75,1,74,0,1398
248,Atlantic Mut Grp,1993,1995,3,244,41,0,75,1,74,0,1398
248,Atlantic Mut Grp,1993,1996,4,258,248,10,75,1,74,0,1398
248,Atlantic Mut Grp,1993,1997,5,255,248,7,75,1,74,0,1398
248,Atlantic Mut Grp,1993,1998,6,249,248,1,75,1,74,0,1398
248,Atlantic Mut Grp,1993,1999,7,251,248,3,75,1,74,0,1398
248,Atlantic Mut Grp,1993,2000,8,260,248,12,75,1,74,0,1398
248,Atlantic Mut Grp,1993,2001,9,250,248,2,75,1,74,0,1398
248,Atlantic Mut Grp,1993,2002,10,249,248,1,75,1,74,0,1398
248,Atlantic Mut Grp,1994,1994,1,234,14,187,75,1,74,0,1398
248,Atlantic Mut Grp,1994,1995,2,124,28,16,75,1,74,0,1398
248,Atlantic Mut Grp,1994,1996,3,114,43,28,75,1,74,0,1398
248,Atlantic Mut Grp,1994,1997,4,127,50,11,75,1,74,0,1398
248,Atlantic Mut Grp,1994,1998,5,149,56,5,75,1,74,0,1398
248,Atlantic Mut Grp,1994,1999,6,128,73,6,75,1,74,0,1398
248,Atlantic Mut Grp,1994,2000,7,111,97,14,75,1,74,0,1398
248,Atlantic Mut Grp,1994,2001,8,104,98,6,75,1,74,0,1398
248,Atlantic Mut Grp,1994,2002,9,101,98,3,75,1,74,0,1398
248,Atlantic Mut Grp,1994,2003,10,110,96,12,75,1,74,0,1398
248,Atlantic Mut Grp,1995,1995,1,612,78,232,301,30,271,0,1398
248,Atlantic Mut Grp,1995,1996,2,581,355,40,301,30,271,0,1398
248,Atlantic Mut Grp,1995,1997,3,774,327,57,301,30,271,0,1398
248,Atlantic Mut Grp,1995,1998,4,747,365,38,301,30,271,0,1398
248,Atlantic Mut Grp,1995,1999,5,957,830,44,301,30,271,0,1398
248,Atlantic Mut Grp,1995,2000,6,941,901,17,301,30,271,0,1398
248,Atlantic Mut Grp,1995,2001,7,918,901,9,301,30,271,0,1398
248,Atlantic Mut Grp,1995,2002,8,910,901,7,301,30,271,0,1398
248,Atlantic Mut Grp,1995,2003,9,919,901,15,301,30,271,0,1398
248,Atlantic Mut Grp,1995,2004,10,910,901,9,301,30,271,0,1398
248,Atlantic Mut Grp,1996,1996,1,435,30,232,361,27,334,0,1398
248,Atlantic Mut Grp,1996,1997,2,486,106,62,361,27,334,0,1398
248,Atlantic Mut Grp,1996,1998,3,548,173,37,361,27,334,0,1398
248,Atlantic Mut Grp,1996,1999,4,643,235,56,361,27,334,0,1398
248,Atlantic Mut Grp,1996,2000,5,518,389,38,361,27,334,0,1398
248,Atlantic Mut Grp,1996,2001,6,424,393,7,361,27,334,0,1398
248,Atlantic Mut Grp,1996,2002,7,421,401,11,361,27,334,0,1398
248,Atlantic Mut Grp,1996,2003,8,429,409,17,361,27,334,0,1398
248,Atlantic Mut Grp,1996,2004,9,437,409,9,361,27,334,0,1398
248,Atlantic Mut Grp,1996,2005,10,447,417,5,361,27,334,0,1398
248,Atlantic Mut Grp,1997,1997,1,535,50,285,376,33,343,0,1398
248,Atlantic Mut Grp,1997,1998,2,827,102,75,376,33,343,0,1398
248,Atlantic Mut Grp,1997,1999,3,808,222,56,376,33,343,0,1398
248,Atlantic Mut Grp,1997,2000,4,575,277,26,376,33,343,0,1398
248,Atlantic Mut Grp,1997,2001,5,503,460,8,376,33,343,0,1398
248,Atlantic Mut Grp,1997,2002,6,510,475,21,376,33,343,0,1398
248,Atlantic Mut Grp,1997,2003,7,512,477,30,376,33,343,0,1398
248,Atlantic Mut Grp,1997,2004,8,488,481,6,376,33,343,0,1398
248,Atlantic Mut Grp,1997,2005,9,484,481,3,376,33,343,0,1398
248,Atlantic Mut Grp,1997,2006,10,523,482,-107,376,33,343,0,1398
337,California Cas Grp,1988,1988,1,76,18,45,57,0,57,0,299
337,California Cas Grp,1988,1989,2,126,26,39,57,0,57,0,299
337,California Cas Grp,1988,1990,3,153,114,12,57,0,57,0,299
337,California Cas Grp,1988,1991,4,136,114,15,57,0,57,0,299
337,California Cas Grp,1988,1992,5,184,129,19,57,0,57,0,299
337,California Cas Grp,1988,1993,6,158,145,12,57,0,57,0,299
337,California Cas Grp,1988,1994,7,139,125,5,57,0,57,0,299
337,California Cas Grp,1988,1995,8,157,128,18,57,0,57,0,299
337,California Cas Grp,1988,1996,9,169,129,15,57,0,57,0,299
337,California Cas Grp,1988,1997,10,181,133,38,57,0,57,0,299
337,California Cas Grp,1989,1989,1,78,0,70,88,0,88,0,299
337,California Cas Grp,1989,1990,2,82,6,24,88,0,88,0,299
337,California Cas Grp,1989,1991,3,52,10,39,88,0,88,0,299
337,California Cas Grp,1989,1992,4,40,11,32,88,0,88,0,299
337,California Cas Grp,1989,1993,5,30,12,18,88,0,88,0,299
337,California Cas Grp,1989,1994,6,15,12,3,88,0,88,0,299
337,California Cas Grp,1989,1995,7,42,12,30,88,0,88,0,299
337,California Cas Grp,1989,1996,8,15,12,3,88,0,88,0,299
337,California Cas Grp,1989,1997,9,87,17,50,88,0,88,0,299
337,California Cas Grp,1989,1998,10,121,40,35,88,0,88,0,299
337,California Cas Grp,1990,1990,1,45,0,27,36,0,36,0,299
337,California Cas Grp,1990,1991,2,275,61,80,36,0,36,0,299
337,California Cas Grp,1990,1992,3,262,94,55,36,0,36,0,299
337,California Cas Grp,1990,1993,4,208,160,48,36,0,36,0,299
337,California Cas Grp,1990,1994,5,200,160,40,36,0,36,0,299
337,California Cas Grp,1990,1995,6,220,160,60,36,0,36,0,299
337,California Cas Grp,1990,1996,7,220,160,60,36,0,36,0,299
337,California Cas Grp,1990,1997,8,210,160,50,36,0,36,0,299
337,California Cas Grp,1990,1998,9,215,160,55,36,0,36,0,299
337,California Cas Grp,1990,1999,10,213,160,53,36,0,36,0,299
337,California Cas Grp,1991,1991,1,94,20,60,31,1,30,0,299
337,California Cas Grp,1991,1992,2,375,30,82,31,1,30,0,299
337,California Cas Grp,1991,1993,3,339,284,30,31,1,30,0,299
337,California Cas Grp,1991,1994,4,390,311,60,31,1,30,0,299
337,California Cas Grp,1991,1995,5,410,332,78,31,1,30,0,299
337,California Cas Grp,1991,1996,6,437,332,105,31,1,30,0,299
