"treaty_id","treaty_type","chain_rank","need_id","scope","attachment","limit","cession","layer","rol","reinstatements","description","treaty_label"
"XOL01_L1","xol_per_occurrence",0.15,"need_01897596711c1628","lob_2440474a39152140,lob_072509d90dee0973",1.2e+07,1.9e+07,NA,1,0.07,1,"Tower 1 Layer 1: 7e+06 xs 1.2e+07","Continental Europe PI / Continental Europe GL 7XS12 L1"
"XOL01_L2","xol_per_occurrence",0.155,"need_01897596711c1628","lob_2440474a39152140,lob_072509d90dee0973",2.1e+07,3.6e+07,NA,2,0.064,1,"Tower 1 Layer 2: 1.5e+07 xs 2.1e+07","Continental Europe PI / Continental Europe GL 15XS21 L2"
"XOL01_L3","xol_per_occurrence",0.16,"need_01897596711c1628","lob_2440474a39152140,lob_072509d90dee0973",3.6e+07,5.1e+07,NA,3,0.06,1,"Tower 1 Layer 3: 1.5e+07 xs 3.6e+07","Continental Europe PI / Continental Europe GL 15XS36 L3"
"XOL01_L4","xol_per_occurrence",0.165,"need_01897596711c1628","lob_2440474a39152140,lob_072509d90dee0973",5.1e+07,5.9e+07,NA,4,0.0236,2,"Tower 1 Layer 4: 8e+06 xs 5.1e+07","Continental Europe PI / Continental Europe GL 8XS51 L4"
"XOL01_L5","xol_per_occurrence",0.17,"need_01897596711c1628","lob_2440474a39152140,lob_072509d90dee0973",5.9e+07,6.8e+07,NA,5,0.0397,0,"Tower 1 Layer 5: 9e+06 xs 5.9e+07","Continental Europe PI / Continental Europe GL 9XS59 L5"
"XOL01_L6","xol_per_occurrence",0.175,"need_01897596711c1628","lob_2440474a39152140,lob_072509d90dee0973",6.8e+07,8.1e+07,NA,6,0.0097,2,"Tower 1 Layer 6: 1.3e+07 xs 6.8e+07","Continental Europe PI / Continental Europe GL 13XS68 L6"
"XOL02_L1","xol_per_occurrence",0.185,"need_076f49e869cd4ffb","lob_63d89bf37d1402eb,lob_63468c36415bf661",7e+06,1.3e+07,NA,1,0.0232,2,"Tower 2 Layer 1: 6e+06 xs 7e+06","US Northeast Workers Comp / US Southeast Energy Offshore 6XS7 L1"
"XOL02_L2","xol_per_occurrence",0.19,"need_076f49e869cd4ffb","lob_63d89bf37d1402eb,lob_63468c36415bf661",1.3e+07,2.1e+07,NA,2,0.0337,0,"Tower 2 Layer 2: 8e+06 xs 1.3e+07","US Northeast Workers Comp / US Southeast Energy Offshore 8XS13 L2"
"XOL02_L3","xol_per_occurrence",0.195,"need_076f49e869cd4ffb","lob_63d89bf37d1402eb,lob_63468c36415bf661",2.1e+07,3.1e+07,NA,3,0.0114,0,"Tower 2 Layer 3: 1e+07 xs 2.1e+07","US Northeast Workers Comp / US Southeast Energy Offshore 10XS21 L3"
"XOL02_L4","xol_per_occurrence",0.2,"need_076f49e869cd4ffb","lob_63d89bf37d1402eb,lob_63468c36415bf661",3.1e+07,4.2e+07,NA,4,0.0567,1,"Tower 2 Layer 4: 1.1e+07 xs 3.1e+07","US Northeast Workers Comp / US Southeast Energy Offshore 11XS31 L4"
"XOL02_L5","xol_per_occurrence",0.205,"need_076f49e869cd4ffb","lob_63d89bf37d1402eb,lob_63468c36415bf661",4.2e+07,5.1e+07,NA,5,0.0237,1,"Tower 2 Layer 5: 9e+06 xs 4.2e+07","US Northeast Workers Comp / US Southeast Energy Offshore 9XS42 L5"
"XOL02_L6","xol_per_occurrence",0.21,"need_076f49e869cd4ffb","lob_63d89bf37d1402eb,lob_63468c36415bf661",5.1e+07,5.7e+07,NA,6,0.0328,1,"Tower 2 Layer 6: 6e+06 xs 5.1e+07","US Northeast Workers Comp / US Southeast Energy Offshore 6XS51 L6"
"XOL03_L1","xol_per_occurrence",0.22,"need_09bbda89295f462c","lob_01a7f9913a528c72,lob_6fd96135091380a0",7e+06,1.6e+07,NA,1,0.0161,0,"Tower 3 Layer 1: 9e+06 xs 7e+06","UK Fleet Auto / US Southeast PI 9XS7 L1"
"XOL03_L2","xol_per_occurrence",0.225,"need_09bbda89295f462c","lob_01a7f9913a528c72,lob_6fd96135091380a0",1.6e+07,2.6e+07,NA,2,0.0541,1,"Tower 3 Layer 2: 1e+07 xs 1.6e+07","UK Fleet Auto / US Southeast PI 10XS16 L2"
"XOL03_L3","xol_per_occurrence",0.23,"need_09bbda89295f462c","lob_01a7f9913a528c72,lob_6fd96135091380a0",2.6e+07,3.6e+07,NA,3,0.0318,1,"Tower 3 Layer 3: 1e+07 xs 2.6e+07","UK Fleet Auto / US Southeast PI 10XS26 L3"
"XOL03_L4","xol_per_occurrence",0.235,"need_09bbda89295f462c","lob_01a7f9913a528c72,lob_6fd96135091380a0",3.6e+07,4.3e+07,NA,4,0.046,0,"Tower 3 Layer 4: 7e+06 xs 3.6e+07","UK Fleet Auto / US Southeast PI 7XS36 L4"
"XOL03_L5","xol_per_occurrence",0.24,"need_09bbda89295f462c","lob_01a7f9913a528c72,lob_6fd96135091380a0",4.3e+07,5.1e+07,NA,5,0.0497,0,"Tower 3 Layer 5: 8e+06 xs 4.3e+07","UK Fleet Auto / US Southeast PI 8XS43 L5"
"XOL03_L6","xol_per_occurrence",0.245,"need_09bbda89295f462c","lob_01a7f9913a528c72,lob_6fd96135091380a0",5.1e+07,5.9e+07,NA,6,0.037,0,"Tower 3 Layer 6: 8e+06 xs 5.1e+07","UK Fleet Auto / US Southeast PI 8XS51 L6"
"XOL04_L1","xol_per_occurrence",0.255,"need_0f3dad6a6787f7a4","lob_6d41f7d04ca5523b,lob_02a645dd3405480c",6e+06,1.4e+07,NA,1,0.0747,2,"Tower 4 Layer 1: 8e+06 xs 6e+06","Continental Europe Casualty Umbrella / APAC Energy Onshore 8XS6 L1"
"XOL04_L2","xol_per_occurrence",0.261,"need_0f3dad6a6787f7a4","lob_6d41f7d04ca5523b,lob_02a645dd3405480c",1.4e+07,1.9e+07,NA,2,0.0247,1,"Tower 4 Layer 2: 5e+06 xs 1.4e+07","Continental Europe Casualty Umbrella / APAC Energy Onshore 5XS14 L2"
"XOL04_L3","xol_per_occurrence",0.267,"need_0f3dad6a6787f7a4","lob_6d41f7d04ca5523b,lob_02a645dd3405480c",1.9e+07,2.3e+07,NA,3,0.0282,1,"Tower 4 Layer 3: 4e+06 xs 1.9e+07","Continental Europe Casualty Umbrella / APAC Energy Onshore 4XS19 L3"
"XOL04_L4","xol_per_occurrence",0.273,"need_0f3dad6a6787f7a4","lob_6d41f7d04ca5523b,lob_02a645dd3405480c",2.3e+07,3e+07,NA,4,0.046,0,"Tower 4 Layer 4: 7e+06 xs 2.3e+07","Continental Europe Casualty Umbrella / APAC Energy Onshore 7XS23 L4"
"XOL04_L5","xol_per_occurrence",0.279,"need_0f3dad6a6787f7a4","lob_6d41f7d04ca5523b,lob_02a645dd3405480c",3e+07,3.9e+07,NA,5,0.0264,0,"Tower 4 Layer 5: 9e+06 xs 3e+07","Continental Europe Casualty Umbrella / APAC Energy Onshore 9XS30 L5"
"XOL05_L1","xol_per_occurrence",0.29,"need_11165e595ed54fd6","lob_5a151f644f09e803,lob_3f7b3a914eca8b6d",8e+06,2.1e+07,NA,1,0.0491,1,"Tower 5 Layer 1: 1.3e+07 xs 8e+06","Continental Europe GL / US Southeast Property Cat 13XS8 L1"
"XOL05_L2","xol_per_occurrence",0.2943,"need_11165e595ed54fd6","lob_5a151f644f09e803,lob_3f7b3a914eca8b6d",2.3e+07,4.1e+07,NA,2,0.0418,1,"Tower 5 Layer 2: 1.8e+07 xs 2.3e+07","Continental Europe GL / US Southeast Property Cat 18XS23 L2"
"XOL05_L3","xol_per_occurrence",0.2986,"need_11165e595ed54fd6","lob_5a151f644f09e803,lob_3f7b3a914eca8b6d",4.1e+07,5.7e+07,NA,3,0.0586,1,"Tower 5 Layer 3: 1.6e+07 xs 4.1e+07","Continental Europe GL / US Southeast Property Cat 16XS41 L3"
"XOL05_L4","xol_per_occurrence",0.3029,"need_11165e595ed54fd6","lob_5a151f644f09e803,lob_3f7b3a914eca8b6d",5.7e+07,6.9e+07,NA,4,0.0497,1,"Tower 5 Layer 4: 1.2e+07 xs 5.7e+07","Continental Europe GL / US Southeast Property Cat 12XS57 L4"
"XOL05_L5","xol_per_occurrence",0.3071,"need_11165e595ed54fd6","lob_5a151f644f09e803,lob_3f7b3a914eca8b6d",6.9e+07,8.2e+07,NA,5,0.0472,1,"Tower 5 Layer 5: 1.3e+07 xs 6.9e+07","Continental Europe GL / US Southeast Property Cat 13XS69 L5"
"XOL05_L6","xol_per_occurrence",0.3114,"need_11165e595ed54fd6","lob_5a151f644f09e803,lob_3f7b3a914eca8b6d",8.2e+07,1.06e+08,NA,6,0.0184,1,"Tower 5 Layer 6: 2.4e+07 xs 8.2e+07","Continental Europe GL / US Southeast Property Cat 24XS82 L6"
"XOL05_L7","xol_per_occurrence",0.3157,"need_11165e595ed54fd6","lob_5a151f644f09e803,lob_3f7b3a914eca8b6d",1.06e+08,1.24e+08,NA,7,0.0344,2,"Tower 5 Layer 7: 1.8e+07 xs 1.06e+08","Continental Europe GL / US Southeast Property Cat 18XS106 L7"
"XOL06_L1","xol_per_occurrence",0.325,"need_19713d3933f4356f","lob_5231e3985778309b,lob_14ea677e0e228add",6e+06,1.2e+07,NA,1,0.0574,0,"Tower 6 Layer 1: 6e+06 xs 6e+06","UK Property Non-Cat / US Southeast Cyber 6XS6 L1"
"XOL06_L2","xol_per_occurrence",0.33,"need_19713d3933f4356f","lob_5231e3985778309b,lob_14ea677e0e228add",1.2e+07,2.4e+07,NA,2,0.0429,2,"Tower 6 Layer 2: 1.2e+07 xs 1.2e+07","UK Property Non-Cat / US Southeast Cyber 12XS12 L2"
"XOL06_L3","xol_per_occurrence",0.335,"need_19713d3933f4356f","lob_5231e3985778309b,lob_14ea677e0e228add",2.4e+07,3.1e+07,NA,3,0.0367,1,"Tower 6 Layer 3: 7e+06 xs 2.4e+07","UK Property Non-Cat / US Southeast Cyber 7XS24 L3"
"XOL06_L4","xol_per_occurrence",0.34,"need_19713d3933f4356f","lob_5231e3985778309b,lob_14ea677e0e228add",3.1e+07,4.6e+07,NA,4,0.0342,1,"Tower 6 Layer 4: 1.5e+07 xs 3.1e+07","UK Property Non-Cat / US Southeast Cyber 15XS31 L4"
"XOL06_L5","xol_per_occurrence",0.345,"need_19713d3933f4356f","lob_5231e3985778309b,lob_14ea677e0e228add",4.6e+07,6e+07,NA,5,0.0204,1,"Tower 6 Layer 5: 1.4e+07 xs 4.6e+07","UK Property Non-Cat / US Southeast Cyber 14XS46 L5"
"XOL06_L6","xol_per_occurrence",0.35,"need_19713d3933f4356f","lob_5231e3985778309b,lob_14ea677e0e228add",6e+07,7.6e+07,NA,6,0.034,2,"Tower 6 Layer 6: 1.6e+07 xs 6e+07","UK Property Non-Cat / US Southeast Cyber 16XS60 L6"
"XOL07_L1","xol_per_occurrence",0.36,"need_24e939ca55fd26c0","lob_012cf9436c9fa295,lob_24ffdf71303b7d57",5e+06,9e+06,NA,1,0.0308,0,"Tower 7 Layer 1: 4e+06 xs 5e+06","US Southeast Property Cat / US Northeast Credit 4XS5 L1"
"XOL07_L2","xol_per_occurrence",0.365,"need_24e939ca55fd26c0","lob_012cf9436c9fa295,lob_24ffdf71303b7d57",1e+07,1.6e+07,NA,2,0.0297,2,"Tower 7 Layer 2: 6e+06 xs 1e+07","US Southeast Property Cat / US Northeast Credit 6XS10 L2"
"XOL07_L3","xol_per_occurrence",0.37,"need_24e939ca55fd26c0","lob_012cf9436c9fa295,lob_24ffdf71303b7d57",1.6e+07,2.5e+07,NA,3,0.0205,1,"Tower 7 Layer 3: 9e+06 xs 1.6e+07","US Southeast Property Cat / US Northeast Credit 9XS16 L3"
"XOL07_L4","xol_per_occurrence",0.375,"need_24e939ca55fd26c0","lob_012cf9436c9fa295,lob_24ffdf71303b7d57",2.5e+07,3e+07,NA,4,0.0109,2,"Tower 7 Layer 4: 5e+06 xs 2.5e+07","US Southeast Property Cat / US Northeast Credit 5XS25 L4"
"XOL07_L5","xol_per_occurrence",0.38,"need_24e939ca55fd26c0","lob_012cf9436c9fa295,lob_24ffdf71303b7d57",3e+07,3.8e+07,NA,5,0.0446,2,"Tower 7 Layer 5: 8e+06 xs 3e+07","US Southeast Property Cat / US Northeast Credit 8XS30 L5"
"XOL07_L6","xol_per_occurrence",0.385,"need_24e939ca55fd26c0","lob_012cf9436c9fa295,lob_24ffdf71303b7d57",3.8e+07,4.3e+07,NA,6,0.0428,1,"Tower 7 Layer 6: 5e+06 xs 3.8e+07","US Southeast Property Cat / US Northeast Credit 5XS38 L6"
"ISOQS02","quota_share",0.407,"need_2c3dfc88247d6566","lob_48e5e1a412975a55",NA,NA,0.32,NA,0.162,NA,"Isolated 2-treaty chain 2: QS 32% (not inured into umbrella)","US Southeast Casualty Umbrella QS 32%"
"FAC03","xol_per_risk",0.408,"need_38b0b7c124e340ab","lob_75fb77b64424b214",4e+06,1.1e+07,NA,NA,0.1031,1,"Standalone facultative XoL on lob_75fb77b64424b214 (isolated, not inured into umbrella)","APAC Fleet Auto Fac 7XS4"
"ISOQS01","quota_share",0.42,"need_2b8923e05172d175","lob_31ba4be968fa1714",NA,NA,0.2,NA,0.161,NA,"Isolated 2-treaty chain 1: QS 20% (not inured into umbrella)","US Southeast Credit QS 20%"
"FAC02","xol_per_risk",0.434,"need_3516fddd027db475","lob_33adfb1000d6f108",4e+06,1e+07,NA,NA,0.0688,1,"Standalone facultative XoL on lob_33adfb1000d6f108 (isolated, not inured into umbrella)","Continental Europe Cyber Fac 6XS4"
"FAC01","xol_per_risk",0.5,"need_2b9c86a25d07ffa9","lob_012cf9436c9fa295",4e+06,1e+07,NA,NA,0.1441,1,"Standalone facultative XoL on lob_012cf9436c9fa295 (isolated, not inured into umbrella)","US Southeast Property Cat Fac 6XS4"
"ISOXOL02","xol_per_occurrence",0.504,"need_2c3dfc88247d6566","lob_48e5e1a412975a55",2e+06,7e+06,NA,1,0.0773,1,"Isolated 2-treaty chain 2: single XoL layer (not inured into umbrella)","US Southeast Casualty Umbrella 5XS2"
"ISOXOL01","xol_per_occurrence",0.536,"need_2b8923e05172d175","lob_31ba4be968fa1714",2e+06,6e+06,NA,1,0.0586,1,"Isolated 2-treaty chain 1: single XoL layer (not inured into umbrella)","US Southeast Credit 4XS2"
"QSTOP03","quota_share",0.55,"need_09bbda89295f462c","lob_01a7f9913a528c72,lob_6fd96135091380a0",NA,NA,0.27,NA,0.082,NA,"Net QS above Tower 3, 27% ceded","UK Fleet Auto / US Southeast PI Net QS 27%"
"QSTOP01","quota_share",0.57,"need_01897596711c1628","lob_2440474a39152140,lob_072509d90dee0973",NA,NA,0.19,NA,0.074,NA,"Net QS above Tower 1, 19% ceded","Continental Europe PI / Continental Europe GL Net QS 19%"
"QSTOP04","quota_share",0.57,"need_0f3dad6a6787f7a4","lob_6d41f7d04ca5523b,lob_02a645dd3405480c",NA,NA,0.31,NA,0.059,NA,"Net QS above Tower 4, 31% ceded","Continental Europe Casualty Umbrella / APAC Energy Onshore Net QS 31%"
"QSTOP02","quota_share",0.59,"need_076f49e869cd4ffb","lob_63d89bf37d1402eb,lob_63468c36415bf661",NA,NA,0.19,NA,0.061,NA,"Net QS above Tower 2, 19% ceded","US Northeast Workers Comp / US Southeast Energy Offshore Net QS 19%"
"CLASH01","clash",0.66,"need_056d513f6d64a8c1","lob_2440474a39152140,lob_072509d90dee0973,lob_6d41f7d04ca5523b,lob_02a645dd3405480c,lob_012cf9436c9fa295,lob_24ffdf71303b7d57",5.83e+08,1.75e+09,NA,NA,0.0226,1,"Clash cover 1, cluster of 4 LOBs","Multi-Class Clash 1167XS583 C1"
"CLASH02","clash",0.67,"need_0736ef863e2c5955","lob_63d89bf37d1402eb,lob_63468c36415bf661,lob_5a151f644f09e803,lob_3f7b3a914eca8b6d",5.83e+08,1.75e+09,NA,NA,0.012,1,"Clash cover 2, cluster of 3 LOBs","Multi-Class Clash 1167XS583 C2"
"CLASH03","clash",0.68,"need_0d07175431c180a3","lob_01a7f9913a528c72,lob_6fd96135091380a0,lob_5231e3985778309b,lob_14ea677e0e228add",5.83e+08,1.75e+09,NA,NA,0.0268,1,"Clash cover 3, cluster of 3 LOBs","Multi-Class Clash 1167XS583 C3"
"AGGXL01","aggregate_xl",0.78,"need_7e56af2f6dd0086f","portfolio",2.1e+09,3.5e+09,NA,NA,0.0114,0,"Whole-account aggregate XL, layer 1","Whole Account Agg 1400XS2100 L1"
"AGGXL02","aggregate_xl",0.81,"need_7e56af2f6dd0086f","portfolio",3.5e+09,5.134e+09,NA,NA,0.0142,0,"Whole-account aggregate XL, layer 2","Whole Account Agg 1634XS3500 L2"
"ILW01","ilw",0.85,NA,"portfolio",3.267e+09,5.367e+09,NA,NA,0.0365,0,"Industry Loss Warranty 1, index trigger","Cat ILW 3x Industry Trigger"
"ILW02","ilw",0.87,NA,"portfolio",5.367e+09,7.467e+09,NA,NA,0.0345,0,"Industry Loss Warranty 2, index trigger","Cat ILW 4x Industry Trigger"
"STOPLOSS01","stop_loss",0.93,NA,"portfolio",4.667e+09,6.534e+09,NA,NA,0.0132,0,"Whole-account annual stop loss, layer 1","Whole Account Stop Loss 1867XS4667 L1"
"STOPLOSS02","stop_loss",0.96,NA,"portfolio",6.534e+09,8.868e+09,NA,NA,0.013,0,"Whole-account annual stop loss, layer 2","Whole Account Stop Loss 2334XS6534 L2"
