"from_treaty","to_treaty","edge_type"
"QS04","XOL04_L2","chain"
"QS04","XOL04_L3","chain"
"QS04","XOL04_L4","chain"
"QS04","XOL04_L5","chain"
"QS11","XOL04_L1","chain"
"QS11","XOL04_L2","chain"
"QS11","XOL04_L3","chain"
"QS11","XOL04_L4","chain"
"QS11","XOL04_L5","chain"
"XOL04_L5","QSTOP04","chain"
"QS05","XOL05_L1","chain"
"QS05","XOL05_L2","chain"
"QS05","XOL05_L3","chain"
"QS05","XOL05_L4","chain"
"QS05","XOL05_L5","chain"
"QS05","XOL05_L6","chain"
"QS05","XOL05_L7","chain"
"QS12","XOL05_L1","chain"
"QS12","XOL05_L2","chain"
"QS12","XOL05_L3","chain"
"QS12","XOL05_L4","chain"
"QS12","XOL05_L5","chain"
"QS12","XOL05_L6","chain"
"QS12","XOL05_L7","chain"
"QS06","XOL06_L1","chain"
"QS06","XOL06_L2","chain"
"QS06","XOL06_L3","chain"
"QS06","XOL06_L4","chain"
"QS06","XOL06_L5","chain"
"QS06","XOL06_L6","chain"
"QS12","XOL06_L1","chain"
"QS12","XOL06_L2","chain"
"QS12","XOL06_L3","chain"
"QS12","XOL06_L4","chain"
"QS12","XOL06_L5","chain"
"QS12","XOL06_L6","chain"
"SUR01","XOL06_L1","chain"
"SUR01","XOL06_L2","chain"
"SUR01","XOL06_L3","chain"
"SUR01","XOL06_L4","chain"
"SUR01","XOL06_L5","chain"
"SUR01","XOL06_L6","chain"
"QS06","XOL07_L1","chain"
"QS06","XOL07_L2","chain"
"QS06","XOL07_L3","chain"
"QS06","XOL07_L4","chain"
"QS06","XOL07_L5","chain"
"QS06","XOL07_L6","chain"
"QS07","XOL07_L1","chain"
"QS07","XOL07_L2","chain"
"QS07","XOL07_L3","chain"
"QS07","XOL07_L4","chain"
"QS07","XOL07_L5","chain"
"QS07","XOL07_L6","chain"
"SUR02","XOL07_L1","chain"
"SUR02","XOL07_L2","chain"
"SUR02","XOL07_L3","chain"
"SUR02","XOL07_L4","chain"
"SUR02","XOL07_L5","chain"
"SUR02","XOL07_L6","chain"
"QSTOP01","CLASH01","converge"
"QSTOP04","CLASH01","converge"
"XOL06_L6","CLASH01","converge"
"XOL07_L6","CLASH01","converge"
"QSTOP02","CLASH02","converge"
"QSTOP04","CLASH02","converge"
"XOL05_L7","CLASH02","converge"
"QSTOP02","CLASH03","converge"
"QSTOP03","CLASH03","converge"
"XOL06_L6","CLASH03","converge"
"QSTOP01","AGGXL01","converge"
"QSTOP02","AGGXL01","converge"
"QSTOP03","AGGXL01","converge"
"QSTOP04","AGGXL01","converge"
"XOL05_L7","AGGXL01","converge"
"XOL06_L6","AGGXL01","converge"
"XOL07_L6","AGGXL01","converge"
"CLASH01","AGGXL01","converge"
"CLASH02","AGGXL01","converge"
"CLASH03","AGGXL01","converge"
"QSTOP01","AGGXL02","converge"
"QSTOP02","AGGXL02","converge"
"QSTOP03","AGGXL02","converge"
"QSTOP04","AGGXL02","converge"
"XOL05_L7","AGGXL02","converge"
"XOL06_L6","AGGXL02","converge"
"XOL07_L6","AGGXL02","converge"
"CLASH01","AGGXL02","converge"
"CLASH02","AGGXL02","converge"
"CLASH03","AGGXL02","converge"
"AGGXL01","AGGXL02","converge"
"QSTOP01","ILW01","converge"
"QSTOP02","ILW01","converge"
"QSTOP03","ILW01","converge"
"QSTOP04","ILW01","converge"
"XOL05_L7","ILW01","converge"
"XOL06_L6","ILW01","converge"
"XOL07_L6","ILW01","converge"
"CLASH01","ILW01","converge"
"CLASH02","ILW01","converge"
"CLASH03","ILW01","converge"
"AGGXL01","ILW01","converge"
"AGGXL02","ILW01","converge"
"QSTOP01","ILW02","converge"
"QSTOP02","ILW02","converge"
"QSTOP03","ILW02","converge"
"QSTOP04","ILW02","converge"
"XOL05_L7","ILW02","converge"
"XOL06_L6","ILW02","converge"
"XOL07_L6","ILW02","converge"
"CLASH01","ILW02","converge"
"CLASH02","ILW02","converge"
"CLASH03","ILW02","converge"
"AGGXL01","ILW02","converge"
"AGGXL02","ILW02","converge"
"ILW01","ILW02","converge"
"QSTOP01","STOPLOSS01","converge"
"QSTOP02","STOPLOSS01","converge"
"QSTOP03","STOPLOSS01","converge"
"QSTOP04","STOPLOSS01","converge"
"XOL05_L7","STOPLOSS01","converge"
"XOL06_L6","STOPLOSS01","converge"
"XOL07_L6","STOPLOSS01","converge"
"CLASH01","STOPLOSS01","converge"
"CLASH02","STOPLOSS01","converge"
"CLASH03","STOPLOSS01","converge"
"AGGXL01","STOPLOSS01","converge"
"AGGXL02","STOPLOSS01","converge"
"ILW01","STOPLOSS01","converge"
"ILW02","STOPLOSS01","converge"
"QSTOP01","STOPLOSS02","converge"
"QSTOP02","STOPLOSS02","converge"
"QSTOP03","STOPLOSS02","converge"
"QSTOP04","STOPLOSS02","converge"
"XOL05_L7","STOPLOSS02","converge"
"XOL06_L6","STOPLOSS02","converge"
"XOL07_L6","STOPLOSS02","converge"
"CLASH01","STOPLOSS02","converge"
"CLASH02","STOPLOSS02","converge"
"CLASH03","STOPLOSS02","converge"
"AGGXL01","STOPLOSS02","converge"
"AGGXL02","STOPLOSS02","converge"
"ILW01","STOPLOSS02","converge"
"ILW02","STOPLOSS02","converge"
"STOPLOSS01","STOPLOSS02","converge"
"ISOQS01","ISOXOL01","chain"
"ISOQS02","ISOXOL02","chain"
