GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_D,CumPaidLoss_D,BulkLoss_D,EarnedPremDIR_D,EarnedPremCeded_D,EarnedPremNet_D,Single,PostedReserve97_D
86,Allstate Ins Co Grp,1995,2004,10,93060,91161,1489,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1996,1996,1,53381,42609,5665,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,1997,2,51205,44916,1788,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,1998,3,51087,46981,1263,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,1999,4,51015,47899,1117,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,2000,5,50226,48583,314,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,2001,6,50343,49109,152,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,2002,7,50060,49442,213,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,2003,8,49564,49073,94,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,2004,9,49739,49161,283,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1996,2005,10,49459,49255,0,95488,2194,93294,0,281872
86,Allstate Ins Co Grp,1997,1997,1,6725,691,3547,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,1998,2,6663,2085,2511,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,1999,3,6473,2795,2217,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,2000,4,2917,2866,17,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,2001,5,2933,2905,11,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,2002,6,3103,2909,184,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,2003,7,3002,2908,94,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,2004,8,2909,2909,0,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,2005,9,2907,2909,0,8347,696,7651,0,281872
86,Allstate Ins Co Grp,1997,2006,10,2909,2909,0,8347,696,7651,0,281872
337,California Cas Grp,1988,1988,1,62679,9558,24619,104437,4658,99779,0,209415
337,California Cas Grp,1988,1989,2,64000,22778,13092,104437,4658,99779,0,209415
337,California Cas Grp,1988,1990,3,65607,33298,13020,104437,4658,99779,0,209415
337,California Cas Grp,1988,1991,4,65292,40348,11540,104437,4658,99779,0,209415
337,California Cas Grp,1988,1992,5,62250,45146,9513,104437,4658,99779,0,209415
337,California Cas Grp,1988,1993,6,61185,48048,8571,104437,4658,99779,0,209415
337,California Cas Grp,1988,1994,7,59387,49782,6815,104437,4658,99779,0,209415
337,California Cas Grp,1988,1995,8,57138,50623,4438,104437,4658,99779,0,209415
337,California Cas Grp,1988,1996,9,53473,51812,846,104437,4658,99779,0,209415
337,California Cas Grp,1988,1997,10,53261,51939,534,104437,4658,99779,0,209415
337,California Cas Grp,1989,1989,1,62058,7913,31073,88883,3773,85110,0,209415
337,California Cas Grp,1989,1990,2,56660,19472,13461,88883,3773,85110,0,209415
337,California Cas Grp,1989,1991,3,56598,29622,8875,88883,3773,85110,0,209415
337,California Cas Grp,1989,1992,4,56831,36816,8396,88883,3773,85110,0,209415
337,California Cas Grp,1989,1993,5,55294,40975,8354,88883,3773,85110,0,209415
337,California Cas Grp,1989,1994,6,53481,43302,6691,88883,3773,85110,0,209415
337,California Cas Grp,1989,1995,7,51379,44707,4438,88883,3773,85110,0,209415
337,California Cas Grp,1989,1996,8,48446,45871,1128,88883,3773,85110,0,209415
337,California Cas Grp,1989,1997,9,48300,46229,801,88883,3773,85110,0,209415
337,California Cas Grp,1989,1998,10,48162,46483,411,88883,3773,85110,0,209415
337,California Cas Grp,1990,1990,1,63955,8744,32172,85956,3769,82187,0,209415
337,California Cas Grp,1990,1991,2,61523,24302,9081,85956,3769,82187,0,209415
337,California Cas Grp,1990,1992,3,63166,35406,8075,85956,3769,82187,0,209415
337,California Cas Grp,1990,1993,4,61402,43412,7269,85956,3769,82187,0,209415
337,California Cas Grp,1990,1994,5,59474,48057,5452,85956,3769,82187,0,209415
337,California Cas Grp,1990,1995,6,57613,50897,2536,85956,3769,82187,0,209415
337,California Cas Grp,1990,1996,7,57161,52879,1692,85956,3769,82187,0,209415
337,California Cas Grp,1990,1997,8,56971,53956,1175,85956,3769,82187,0,209415
337,California Cas Grp,1990,1998,9,56634,54440,821,85956,3769,82187,0,209415
337,California Cas Grp,1990,1999,10,56368,54857,379,85956,3769,82187,0,209415
337,California Cas Grp,1991,1991,1,73918,13301,25129,99339,4342,94997,0,209415
337,California Cas Grp,1991,1992,2,75094,32950,9184,99339,4342,94997,0,209415
337,California Cas Grp,1991,1993,3,73188,47201,4448,99339,4342,94997,0,209415
337,California Cas Grp,1991,1994,4,71199,56394,3345,99339,4342,94997,0,209415
337,California Cas Grp,1991,1995,5,71056,61650,2409,99339,4342,94997,0,209415
337,California Cas Grp,1991,1996,6,70831,65039,2256,99339,4342,94997,0,209415
337,California Cas Grp,1991,1997,7,70532,66566,1388,99339,4342,94997,0,209415
337,California Cas Grp,1991,1998,8,70260,67783,821,99339,4342,94997,0,209415
337,California Cas Grp,1991,1999,9,70104,68323,434,99339,4342,94997,0,209415
337,California Cas Grp,1991,2000,10,71274,68965,1203,99339,4342,94997,0,209415
337,California Cas Grp,1992,1992,1,77143,11424,41738,104897,4389,100508,0,209415
337,California Cas Grp,1992,1993,2,75133,29086,21264,104897,4389,100508,0,209415
337,California Cas Grp,1992,1994,3,73284,42034,14869,104897,4389,100508,0,209415
337,California Cas Grp,1992,1995,4,73155,50910,12870,104897,4389,100508,0,209415
337,California Cas Grp,1992,1996,5,68284,56406,5640,104897,4389,100508,0,209415
337,California Cas Grp,1992,1997,6,67845,59437,3738,104897,4389,100508,0,209415
337,California Cas Grp,1992,1998,7,67620,61029,3284,104897,4389,100508,0,209415
337,California Cas Grp,1992,1999,8,66445,62354,1355,104897,4389,100508,0,209415
337,California Cas Grp,1992,2000,9,67382,63037,2406,104897,4389,100508,0,209415
337,California Cas Grp,1992,2001,10,67515,63406,2838,104897,4389,100508,0,209415
337,California Cas Grp,1993,1993,1,79925,11792,51023,119427,5075,114352,0,209415
337,California Cas Grp,1993,1994,2,78263,27161,32835,119427,5075,114352,0,209415
337,California Cas Grp,1993,1995,3,78163,38229,26818,119427,5075,114352,0,209415
337,California Cas Grp,1993,1996,4,68546,46722,14100,119427,5075,114352,0,209415
337,California Cas Grp,1993,1997,5,67697,50742,11748,119427,5075,114352,0,209415
337,California Cas Grp,1993,1998,6,65321,53480,7800,119427,5075,114352,0,209415
337,California Cas Grp,1993,1999,7,64226,55960,5691,119427,5075,114352,0,209415
337,California Cas Grp,1993,2000,8,62411,56826,3609,119427,5075,114352,0,209415
337,California Cas Grp,1993,2001,9,62578,57810,2838,119427,5075,114352,0,209415
337,California Cas Grp,1993,2002,10,62122,57917,2043,119427,5075,114352,0,209415
337,California Cas Grp,1994,1994,1,73628,11194,47270,110784,4244,106540,0,209415
337,California Cas Grp,1994,1995,2,73554,26893,29747,110784,4244,106540,0,209415
337,California Cas Grp,1994,1996,3,70736,38488,19740,110784,4244,106540,0,209415
337,California Cas Grp,1994,1997,4,69720,45580,17088,110784,4244,106540,0,209415
337,California Cas Grp,1994,1998,5,67578,48836,14368,110784,4244,106540,0,209415
337,California Cas Grp,1994,1999,6,66760,50559,11707,110784,4244,106540,0,209415
337,California Cas Grp,1994,2000,7,60916,52119,5213,110784,4244,106540,0,209415
337,California Cas Grp,1994,2001,8,59795,53426,3469,110784,4244,106540,0,209415
337,California Cas Grp,1994,2002,9,59806,54666,1858,110784,4244,106540,0,209415
337,California Cas Grp,1994,2003,10,59974,55255,1402,110784,4244,106540,0,209415
337,California Cas Grp,1995,1995,1,69521,12550,38471,77731,3079,74652,0,209415
337,California Cas Grp,1995,1996,2,80281,31604,28200,77731,3079,74652,0,209415
337,California Cas Grp,1995,1997,3,79381,44045,21360,77731,3079,74652,0,209415
337,California Cas Grp,1995,1998,4,78694,52539,16831,77731,3079,74652,0,209415
337,California Cas Grp,1995,1999,5,77901,57122,12466,77731,3079,74652,0,209415
337,California Cas Grp,1995,2000,6,73164,60526,5614,77731,3079,74652,0,209415
337,California Cas Grp,1995,2001,7,71733,62882,3785,77731,3079,74652,0,209415
337,California Cas Grp,1995,2002,8,71656,64470,2043,77731,3079,74652,0,209415
337,California Cas Grp,1995,2003,9,71910,65799,1724,77731,3079,74652,0,209415
337,California Cas Grp,1995,2004,10,71829,67011,1439,77731,3079,74652,0,209415
337,California Cas Grp,1996,1996,1,69720,13194,36378,63646,3402,60244,0,209415
337,California Cas Grp,1996,1997,2,73181,31474,22428,63646,3402,60244,0,209415
337,California Cas Grp,1996,1998,3,72878,44070,15599,63646,3402,60244,0,209415
337,California Cas Grp,1996,1999,4,72188,51693,10298,63646,3402,60244,0,209415
337,California Cas Grp,1996,2000,5,72063,57120,6015,63646,3402,60244,0,209415
337,California Cas Grp,1996,2001,6,72348,60453,4731,63646,3402,60244,0,209415
337,California Cas Grp,1996,2002,7,72404,63499,2043,63646,3402,60244,0,209415
337,California Cas Grp,1996,2003,8,72498,66205,1978,63646,3402,60244,0,209415
337,California Cas Grp,1996,2004,9,72402,67423,1702,63646,3402,60244,0,209415
337,California Cas Grp,1996,2005,10,72573,68225,1215,63646,3402,60244,0,209415
337,California Cas Grp,1997,1997,1,50171,9372,24404,48052,2119,45933,0,209415
337,California Cas Grp,1997,1998,2,49770,23735,11494,48052,2119,45933,0,209415
337,California Cas Grp,1997,1999,3,50240,34191,3794,48052,2119,45933,0,209415
337,California Cas Grp,1997,2000,4,56703,39726,6416,48052,2119,45933,0,209415
337,California Cas Grp,1997,2001,5,57924,44685,4731,48052,2119,45933,0,209415
337,California Cas Grp,1997,2002,6,59809,48438,2786,48052,2119,45933,0,209415
337,California Cas Grp,1997,2003,7,59230,50775,1358,48052,2119,45933,0,209415
337,California Cas Grp,1997,2004,8,59232,52694,1017,48052,2119,45933,0,209415
337,California Cas Grp,1997,2005,9,59300,54217,781,48052,2119,45933,0,209415
337,California Cas Grp,1997,2006,10,59939,55377,591,48052,2119,45933,0,209415
353,Celina Mut Grp,1988,1988,1,4636,1326,1964,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1989,2,5545,3140,998,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1990,3,5782,4422,231,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1991,4,6342,5036,99,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1992,5,6552,5629,45,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1993,6,6630,6060,27,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1994,7,6711,6249,36,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1995,8,6720,6325,31,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1996,9,6700,6471,24,10063,2254,7808,0,5820
353,Celina Mut Grp,1988,1997,10,6619,6489,-1,10063,2254,7808,0,5820
353,Celina Mut Grp,1989,1989,1,5197,1793,1825,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1990,2,6392,3698,865,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1991,3,7173,5098,773,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1992,4,7518,6093,578,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1993,5,7396,6474,246,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1994,6,7527,6497,313,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1995,7,7321,6601,123,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1996,8,7189,6731,49,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1997,9,7134,6896,29,10827,2650,8177,0,5820
353,Celina Mut Grp,1989,1998,10,7088,6939,20,10827,2650,8177,0,5820
353,Celina Mut Grp,1990,1990,1,7098,1941,3639,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1991,2,8159,4015,2023,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1992,3,8626,5589,1446,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1993,4,8340,6299,732,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1994,5,8141,6586,664,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1995,6,7817,6834,454,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1996,7,7547,7031,239,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1997,8,7417,7075,139,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1998,9,7349,7096,75,11358,2226,9132,0,5820
353,Celina Mut Grp,1990,1999,10,7297,7123,25,11358,2226,9132,0,5820
353,Celina Mut Grp,1991,1991,1,6419,1477,3698,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,1992,2,7440,3742,1911,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,1993,3,7165,4798,1311,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,1994,4,6684,4986,1015,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,1995,5,6189,5091,515,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,1996,6,5934,5269,288,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,1997,7,5788,5323,178,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,1998,8,5748,5366,130,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,1999,9,5668,5384,54,11202,2243,8959,0,5820
353,Celina Mut Grp,1991,2000,10,5623,5404,10,11202,2243,8959,0,5820
353,Celina Mut Grp,1992,1992,1,6572,1329,3630,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,1993,2,5713,2593,1535,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,1994,3,5328,2832,1165,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,1995,4,4550,3222,403,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,1996,5,4437,3417,273,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,1997,6,4325,3527,178,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,1998,7,4326,3608,162,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,1999,8,4251,3784,55,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,2000,9,4121,3792,45,9826,2186,7640,0,5820
353,Celina Mut Grp,1992,2001,10,4112,3834,18,9826,2186,7640,0,5820
353,Celina Mut Grp,1993,1993,1,2574,519,1754,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,1994,2,2491,927,1143,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,1995,3,2268,1040,1027,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,1996,4,1522,1009,397,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,1997,5,1444,1035,312,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,1998,6,1355,1061,260,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,1999,7,1152,1075,56,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,2000,8,1131,1078,35,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,2001,9,1126,1080,32,5905,1824,4080,0,5820
353,Celina Mut Grp,1993,2002,10,1094,1087,0,5905,1824,4080,0,5820
353,Celina Mut Grp,1994,1994,1,1815,578,1140,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,1995,2,1745,966,631,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,1996,3,1633,902,609,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,1997,4,1527,1004,436,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,1998,5,1499,1113,315,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,1999,6,1332,1178,83,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,2000,7,1309,1190,55,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,2001,8,1405,1331,39,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,2002,9,1407,1334,25,4192,1235,2957,0,5820
353,Celina Mut Grp,1994,2003,10,1388,1350,0,4192,1235,2957,0,5820
353,Celina Mut Grp,1995,1995,1,1451,375,850,3272,891,2381,0,5820
353,Celina Mut Grp,1995,1996,2,1355,575,620,3272,891,2381,0,5820
353,Celina Mut Grp,1995,1997,3,1303,646,587,3272,891,2381,0,5820
353,Celina Mut Grp,1995,1998,4,1188,713,425,3272,891,2381,0,5820
353,Celina Mut Grp,1995,1999,5,1048,915,107,3272,891,2381,0,5820
353,Celina Mut Grp,1995,2000,6,995,926,55,3272,891,2381,0,5820
353,Celina Mut Grp,1995,2001,7,979,927,39,3272,891,2381,0,5820
353,Celina Mut Grp,1995,2002,8,939,929,0,3272,891,2381,0,5820
353,Celina Mut Grp,1995,2003,9,939,930,0,3272,891,2381,0,5820
353,Celina Mut Grp,1995,2004,10,954,931,5,3272,891,2381,0,5820
353,Celina Mut Grp,1996,1996,1,867,306,479,2447,696,1751,0,5820
353,Celina Mut Grp,1996,1997,2,938,501,403,2447,696,1751,0,5820
353,Celina Mut Grp,1996,1998,3,910,530,358,2447,696,1751,0,5820
353,Celina Mut Grp,1996,1999,4,906,752,120,2447,696,1751,0,5820
353,Celina Mut Grp,1996,2000,5,906,774,65,2447,696,1751,0,5820
353,Celina Mut Grp,1996,2001,6,905,860,41,2447,696,1751,0,5820
353,Celina Mut Grp,1996,2002,7,865,861,0,2447,696,1751,0,5820
353,Celina Mut Grp,1996,2003,8,863,861,0,2447,696,1751,0,5820
353,Celina Mut Grp,1996,2004,9,862,861,0,2447,696,1751,0,5820
353,Celina Mut Grp,1996,2005,10,862,861,0,2447,696,1751,0,5820
353,Celina Mut Grp,1997,1997,1,656,339,281,1333,326,1007,0,5820
353,Celina Mut Grp,1997,1998,2,680,481,186,1333,326,1007,0,5820
353,Celina Mut Grp,1997,1999,3,698,592,100,1333,326,1007,0,5820
353,Celina Mut Grp,1997,2000,4,678,600,65,1333,326,1007,0,5820
353,Celina Mut Grp,1997,2001,5,648,608,27,1333,326,1007,0,5820
353,Celina Mut Grp,1997,2002,6,627,624,0,1333,326,1007,0,5820
353,Celina Mut Grp,1997,2003,7,659,624,5,1333,326,1007,0,5820
353,Celina Mut Grp,1997,2004,8,717,628,10,1333,326,1007,0,5820
353,Celina Mut Grp,1997,2005,9,733,645,10,1333,326,1007,0,5820
353,Celina Mut Grp,1997,2006,10,703,669,5,1333,326,1007,0,5820
388,Federal Ins Co Grp,1988,1988,1,110308,21898,32774,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1989,2,123010,56339,13552,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1990,3,125339,78457,10865,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1991,4,127382,92820,10656,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1992,5,128246,101261,10633,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1993,6,128699,103929,10106,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1994,7,130897,107855,11752,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1995,8,130559,111901,10155,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1996,9,131882,112388,12455,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1988,1997,10,122959,111727,4349,225847,44488,181359,0,778596
388,Federal Ins Co Grp,1989,1989,1,121104,22549,37070,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1990,2,128545,59459,11935,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1991,3,132244,82918,12906,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1992,4,133841,98768,11780,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1993,5,135043,105504,12064,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1994,6,136807,110649,12744,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1995,7,137598,113833,13027,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1996,8,138111,116691,13294,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1997,9,138113,116055,14137,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1989,1998,10,130154,117658,6102,234956,49594,185362,0,778596
388,Federal Ins Co Grp,1990,1990,1,119767,23881,38734,246707,60141,186566,0,778596
388,Federal Ins Co Grp,1990,1991,2,127169,60315,14222,246707,60141,186566,0,778596
