GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_F2,CumPaidLoss_F2,BulkLoss_F2,EarnedPremDIR_F2,EarnedPremCeded_F2,EarnedPremNet_F2,Single,PostedReserve97_F2
669,Scpie Indemnity Co,1990,1994,5,89252,71875,10652,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1990,1995,6,81916,74755,5861,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1990,1996,7,79134,75176,3857,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1990,1997,8,76333,75250,1057,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1990,1998,9,75612,75250,336,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1990,1999,10,75350,75250,74,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1991,1991,1,117981,4456,93508,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,1992,2,122443,34241,34866,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,1993,3,121056,64737,20295,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,1994,4,113795,79390,20724,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,1995,5,102830,84465,10313,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,1996,6,98071,87375,6756,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,1997,7,94870,89119,4403,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,1998,8,91062,89825,488,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,1999,9,90493,90333,138,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1991,2000,10,90345,90343,2,101814,5331,96483,0,344558
669,Scpie Indemnity Co,1992,1992,1,131059,5970,103660,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,1993,2,130155,36080,37632,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,1994,3,124195,68268,26737,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,1995,4,113974,81783,18537,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,1996,5,106817,86076,14900,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,1997,6,99182,87167,8312,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,1998,7,92588,88282,1495,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,1999,8,91000,88857,768,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,2000,9,89256,89087,109,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1992,2001,10,89251,89102,87,94694,-3914,98608,0,344558
669,Scpie Indemnity Co,1993,1993,1,134700,9398,92455,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,1994,2,130757,46210,28503,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,1995,3,125253,77045,25047,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,1996,4,114717,86298,18165,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,1997,5,111294,91796,15626,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,1998,6,98014,93827,2699,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,1999,7,96872,95871,911,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,2000,8,95714,95943,-229,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,2001,9,96017,95987,30,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1993,2002,10,96047,96008,39,99099,-34,99133,0,344558
669,Scpie Indemnity Co,1994,1994,1,136749,6181,86894,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,1995,2,128192,39204,40794,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,1996,3,121355,70006,26847,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,1997,4,111877,82385,20401,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,1998,5,96152,86523,6253,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,1999,6,91502,88387,2064,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,2000,7,90498,90408,-36,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,2001,8,91870,90525,0,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,2002,9,91848,91640,30,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1994,2003,10,91938,91796,11,103343,6246,97097,0,344558
669,Scpie Indemnity Co,1995,1995,1,140962,7828,94269,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,1996,2,132405,42356,39510,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,1997,3,118332,70729,30430,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,1998,4,100050,79340,14715,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,1999,5,88809,81142,5435,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,2000,6,82360,81891,385,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,2001,7,81986,81905,77,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,2002,8,81887,81897,48,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,2003,9,81796,81781,15,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1995,2004,10,81782,81782,0,109098,7498,101600,0,344558
669,Scpie Indemnity Co,1996,1996,1,134473,8854,86910,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,1997,2,128980,51400,30659,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,1998,3,113645,81653,15815,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,1999,4,104273,90504,7588,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,2000,5,99276,94284,1705,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,2001,6,97782,96456,435,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,2002,7,97282,97305,-5,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,2003,8,97738,97175,162,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,2004,9,97601,97212,171,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1996,2005,10,97251,97225,23,108464,6927,101537,0,344558
669,Scpie Indemnity Co,1997,1997,1,137944,7818,92560,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,1998,2,127727,47098,30392,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,1999,3,114057,84142,13416,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,2000,4,107001,93724,4038,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,2001,5,102143,97401,1579,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,2002,6,99665,97726,1172,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,2003,7,99942,98250,1161,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,2004,8,99968,98355,908,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,2005,9,99590,98627,448,112042,3844,108198,0,344558
669,Scpie Indemnity Co,1997,2006,10,99378,98655,209,112042,3844,108198,0,344558
683,Promutual Grp,1988,1988,1,43393,292,15624,53178,0,53178,0,125868
683,Promutual Grp,1988,1989,2,39560,4697,0,53178,0,53178,0,125868
683,Promutual Grp,1988,1990,3,50398,13938,8431,53178,0,53178,0,125868
683,Promutual Grp,1988,1991,4,46630,21175,5611,53178,0,53178,0,125868
683,Promutual Grp,1988,1992,5,44007,24834,3813,53178,0,53178,0,125868
683,Promutual Grp,1988,1993,6,30000,22360,1463,53178,0,53178,0,125868
683,Promutual Grp,1988,1994,7,27171,24779,-567,53178,0,53178,0,125868
683,Promutual Grp,1988,1995,8,27395,25792,687,53178,0,53178,0,125868
683,Promutual Grp,1988,1996,9,27034,25891,534,53178,0,53178,0,125868
683,Promutual Grp,1988,1997,10,26804,25942,252,53178,0,53178,0,125868
683,Promutual Grp,1989,1989,1,23460,524,0,60809,0,60809,0,125868
683,Promutual Grp,1989,1990,2,54478,3666,12869,60809,0,60809,0,125868
683,Promutual Grp,1989,1991,3,50633,11778,12791,60809,0,60809,0,125868
683,Promutual Grp,1989,1992,4,46938,19663,8593,60809,0,60809,0,125868
683,Promutual Grp,1989,1993,5,34432,19941,4171,60809,0,60809,0,125868
683,Promutual Grp,1989,1994,6,30406,25068,-359,60809,0,60809,0,125868
683,Promutual Grp,1989,1995,7,30408,26915,2643,60809,0,60809,0,125868
683,Promutual Grp,1989,1996,8,29794,26971,2098,60809,0,60809,0,125868
683,Promutual Grp,1989,1997,9,28014,27022,266,60809,0,60809,0,125868
683,Promutual Grp,1989,1998,10,27703,27039,545,60809,0,60809,0,125868
683,Promutual Grp,1990,1990,1,44843,829,25173,51806,0,51806,0,125868
683,Promutual Grp,1990,1991,2,40405,2943,17071,51806,0,51806,0,125868
683,Promutual Grp,1990,1992,3,38517,9327,9290,51806,0,51806,0,125868
683,Promutual Grp,1990,1993,4,29661,14676,6658,51806,0,51806,0,125868
683,Promutual Grp,1990,1994,5,23559,18355,242,51806,0,51806,0,125868
683,Promutual Grp,1990,1995,6,23269,19650,1028,51806,0,51806,0,125868
683,Promutual Grp,1990,1996,7,22813,19820,922,51806,0,51806,0,125868
683,Promutual Grp,1990,1997,8,22594,20199,809,51806,0,51806,0,125868
683,Promutual Grp,1990,1998,9,21804,20312,1098,51806,0,51806,0,125868
683,Promutual Grp,1990,1999,10,20984,20374,373,51806,0,51806,0,125868
683,Promutual Grp,1991,1991,1,40715,1658,18836,44101,0,44101,0,125868
683,Promutual Grp,1991,1992,2,44679,6121,9876,44101,0,44101,0,125868
683,Promutual Grp,1991,1993,3,35510,11419,-1231,44101,0,44101,0,125868
683,Promutual Grp,1991,1994,4,33872,16512,-4656,44101,0,44101,0,125868
683,Promutual Grp,1991,1995,5,32713,24338,-178,44101,0,44101,0,125868
683,Promutual Grp,1991,1996,6,30871,25625,1065,44101,0,44101,0,125868
683,Promutual Grp,1991,1997,7,28734,26041,-45,44101,0,44101,0,125868
683,Promutual Grp,1991,1998,8,30627,28735,-64,44101,0,44101,0,125868
683,Promutual Grp,1991,1999,9,30151,28772,-571,44101,0,44101,0,125868
683,Promutual Grp,1991,2000,10,30413,28805,48,44101,0,44101,0,125868
683,Promutual Grp,1992,1992,1,55743,518,34350,29242,0,29242,0,125868
683,Promutual Grp,1992,1993,2,44309,5166,14157,29242,0,29242,0,125868
683,Promutual Grp,1992,1994,3,33884,9775,-2534,29242,0,29242,0,125868
683,Promutual Grp,1992,1995,4,29723,16649,-3465,29242,0,29242,0,125868
683,Promutual Grp,1992,1996,5,30954,20587,-1629,29242,0,29242,0,125868
683,Promutual Grp,1992,1997,6,27665,23465,-747,29242,0,29242,0,125868
683,Promutual Grp,1992,1998,7,27067,24508,-685,29242,0,29242,0,125868
683,Promutual Grp,1992,1999,8,26018,24979,-155,29242,0,29242,0,125868
683,Promutual Grp,1992,2000,9,25603,25453,-100,29242,0,29242,0,125868
683,Promutual Grp,1992,2001,10,25666,25531,135,29242,0,29242,0,125868
683,Promutual Grp,1993,1993,1,49446,1850,33281,26379,0,26379,0,125868
683,Promutual Grp,1993,1994,2,30760,5076,5462,26379,0,26379,0,125868
683,Promutual Grp,1993,1995,3,27841,7974,-1886,26379,0,26379,0,125868
683,Promutual Grp,1993,1996,4,37179,18872,-4854,26379,0,26379,0,125868
683,Promutual Grp,1993,1997,5,35687,29528,-3514,26379,0,26379,0,125868
683,Promutual Grp,1993,1998,6,35936,33034,-3617,26379,0,26379,0,125868
683,Promutual Grp,1993,1999,7,37005,35005,-1119,26379,0,26379,0,125868
683,Promutual Grp,1993,2000,8,38270,37073,-100,26379,0,26379,0,125868
683,Promutual Grp,1993,2001,9,38382,37144,188,26379,0,26379,0,125868
683,Promutual Grp,1993,2002,10,37760,37326,24,26379,0,26379,0,125868
683,Promutual Grp,1994,1994,1,33465,1064,14043,25343,0,25343,0,125868
683,Promutual Grp,1994,1995,2,32438,6647,2471,25343,0,25343,0,125868
683,Promutual Grp,1994,1996,3,38458,13035,-1797,25343,0,25343,0,125868
683,Promutual Grp,1994,1997,4,37845,21891,-2921,25343,0,25343,0,125868
683,Promutual Grp,1994,1998,5,35062,29199,-5242,25343,0,25343,0,125868
683,Promutual Grp,1994,1999,6,36552,33047,-2505,25343,0,25343,0,125868
683,Promutual Grp,1994,2000,7,36388,34699,271,25343,0,25343,0,125868
683,Promutual Grp,1994,2001,8,36294,35500,2,25343,0,25343,0,125868
683,Promutual Grp,1994,2002,9,36371,36097,-23,25343,0,25343,0,125868
683,Promutual Grp,1994,2003,10,36409,36154,205,25343,0,25343,0,125868
683,Promutual Grp,1995,1995,1,32837,703,16159,26661,265,26396,0,125868
683,Promutual Grp,1995,1996,2,32449,4803,6908,26661,265,26396,0,125868
683,Promutual Grp,1995,1997,3,34650,10388,2708,26661,265,26396,0,125868
683,Promutual Grp,1995,1998,4,30941,17420,-2222,26661,265,26396,0,125868
683,Promutual Grp,1995,1999,5,28954,21629,-3019,26661,265,26396,0,125868
683,Promutual Grp,1995,2000,6,29424,26032,-970,26661,265,26396,0,125868
683,Promutual Grp,1995,2001,7,28768,28087,-269,26661,265,26396,0,125868
683,Promutual Grp,1995,2002,8,28557,28467,-300,26661,265,26396,0,125868
683,Promutual Grp,1995,2003,9,29521,29132,269,26661,265,26396,0,125868
683,Promutual Grp,1995,2004,10,29500,29147,233,26661,265,26396,0,125868
683,Promutual Grp,1996,1996,1,34711,796,19602,28215,915,27300,0,125868
683,Promutual Grp,1996,1997,2,31935,3143,10182,28215,915,27300,0,125868
683,Promutual Grp,1996,1998,3,27963,7196,-2076,28215,915,27300,0,125868
683,Promutual Grp,1996,1999,4,25959,14290,-8605,28215,915,27300,0,125868
683,Promutual Grp,1996,2000,5,29673,24606,-3699,28215,915,27300,0,125868
683,Promutual Grp,1996,2001,6,31900,30148,-1894,28215,915,27300,0,125868
683,Promutual Grp,1996,2002,7,33123,31099,-789,28215,915,27300,0,125868
683,Promutual Grp,1996,2003,8,31773,31963,-1266,28215,915,27300,0,125868
683,Promutual Grp,1996,2004,9,33051,32489,-239,28215,915,27300,0,125868
683,Promutual Grp,1996,2005,10,32644,32659,-16,28215,915,27300,0,125868
683,Promutual Grp,1997,1997,1,34107,556,21084,24114,1395,22719,0,125868
683,Promutual Grp,1997,1998,2,29536,3283,9319,24114,1395,22719,0,125868
683,Promutual Grp,1997,1999,3,26174,6505,1093,24114,1395,22719,0,125868
683,Promutual Grp,1997,2000,4,24997,12970,-508,24114,1395,22719,0,125868
683,Promutual Grp,1997,2001,5,26237,18850,-1605,24114,1395,22719,0,125868
683,Promutual Grp,1997,2002,6,28330,23259,-1813,24114,1395,22719,0,125868
683,Promutual Grp,1997,2003,7,30665,26116,-581,24114,1395,22719,0,125868
683,Promutual Grp,1997,2004,8,29690,28810,-155,24114,1395,22719,0,125868
683,Promutual Grp,1997,2005,9,29928,29193,60,24114,1395,22719,0,125868
683,Promutual Grp,1997,2006,10,29676,29292,159,24114,1395,22719,0,125868
841,Great Amer Grp,1988,1988,1,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1989,2,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1990,3,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1991,4,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1992,5,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1993,6,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1994,7,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1995,8,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1996,9,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1988,1997,10,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1989,1,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1990,2,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1991,3,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1992,4,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1993,5,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1994,6,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1995,7,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1996,8,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1997,9,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1989,1998,10,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1990,1,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1991,2,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1992,3,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1993,4,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1994,5,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1995,6,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1996,7,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1997,8,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1998,9,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1990,1999,10,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1991,1,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1992,2,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1993,3,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1994,4,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1995,5,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1996,6,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1997,7,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1998,8,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,1999,9,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1991,2000,10,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,1992,1,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,1993,2,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,1994,3,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,1995,4,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,1996,5,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,1997,6,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,1998,7,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,1999,8,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,2000,9,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1992,2001,10,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,1993,1,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,1994,2,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,1995,3,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,1996,4,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,1997,5,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,1998,6,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,1999,7,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,2000,8,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,2001,9,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1993,2002,10,0,0,0,0,0,0,0,1770
841,Great Amer Grp,1994,1994,1,470,9,0,774,179,595,0,1770
841,Great Amer Grp,1994,1995,2,751,81,0,774,179,595,0,1770
841,Great Amer Grp,1994,1996,3,788,715,0,774,179,595,0,1770
841,Great Amer Grp,1994,1997,4,1183,772,0,774,179,595,0,1770
841,Great Amer Grp,1994,1998,5,819,789,0,774,179,595,0,1770
841,Great Amer Grp,1994,1999,6,830,800,0,774,179,595,0,1770
841,Great Amer Grp,1994,2000,7,830,800,0,774,179,595,0,1770
841,Great Amer Grp,1994,2001,8,830,800,0,774,179,595,0,1770
841,Great Amer Grp,1994,2002,9,830,800,0,774,179,595,0,1770
841,Great Amer Grp,1994,2003,10,830,800,0,774,179,595,0,1770
841,Great Amer Grp,1995,1995,1,827,207,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,1996,2,1031,370,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,1997,3,1277,865,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,1998,4,988,924,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,1999,5,949,945,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,2000,6,949,945,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,2001,7,949,945,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,2002,8,949,945,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,2003,9,949,945,0,1762,439,1323,0,1770
841,Great Amer Grp,1995,2004,10,949,945,0,1762,439,1323,0,1770
841,Great Amer Grp,1996,1996,1,900,38,0,424,111,313,0,1770
841,Great Amer Grp,1996,1997,2,1026,79,0,424,111,313,0,1770
841,Great Amer Grp,1996,1998,3,767,767,0,424,111,313,0,1770
841,Great Amer Grp,1996,1999,4,759,759,0,424,111,313,0,1770
841,Great Amer Grp,1996,2000,5,754,754,0,424,111,313,0,1770
841,Great Amer Grp,1996,2001,6,754,754,0,424,111,313,0,1770
841,Great Amer Grp,1996,2002,7,754,754,0,424,111,313,0,1770
841,Great Amer Grp,1996,2003,8,754,754,0,424,111,313,0,1770
841,Great Amer Grp,1996,2004,9,754,754,0,424,111,313,0,1770
841,Great Amer Grp,1996,2005,10,754,754,0,424,111,313,0,1770
841,Great Amer Grp,1997,1997,1,0,0,0,30,7,23,0,1770
841,Great Amer Grp,1997,1998,2,-10,-10,0,30,7,23,0,1770
841,Great Amer Grp,1997,1999,3,2,2,0,30,7,23,0,1770
841,Great Amer Grp,1997,2000,4,8,8,0,30,7,23,0,1770
841,Great Amer Grp,1997,2001,5,8,8,0,30,7,23,0,1770
841,Great Amer Grp,1997,2002,6,8,8,0,30,7,23,0,1770
841,Great Amer Grp,1997,2003,7,9,9,0,30,7,23,0,1770
841,Great Amer Grp,1997,2004,8,9,9,0,30,7,23,0,1770
841,Great Amer Grp,1997,2005,9,9,9,0,30,7,23,0,1770
841,Great Amer Grp,1997,2006,10,9,9,0,30,7,23,0,1770
1406,Nationwide Grp,1988,1988,1,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1989,2,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1990,3,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1991,4,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1992,5,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1993,6,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1994,7,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1995,8,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1996,9,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1988,1997,10,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1989,1,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1990,2,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1991,3,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1992,4,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1993,5,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1994,6,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1995,7,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1996,8,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1997,9,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1989,1998,10,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1990,1,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1991,2,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1992,3,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1993,4,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1994,5,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1995,6,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1996,7,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1997,8,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1998,9,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1990,1999,10,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1991,1,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1992,2,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1993,3,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1994,4,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1995,5,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1996,6,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1997,7,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1998,8,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,1999,9,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1991,2000,10,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1992,1992,1,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1992,1993,2,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1992,1994,3,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1992,1995,4,0,0,0,0,0,0,0,882
1406,Nationwide Grp,1992,1996,5,0,0,0,0,0,0,0,882
