GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_C,CumPaidLoss_C,BulkLoss_C,EarnedPremDIR_C,EarnedPremCeded_C,EarnedPremNet_C,Single,PostedReserve97_C
266,Public Underwriters Grp,1991,1997,7,378,377,0,1807,1295,512,0,932
266,Public Underwriters Grp,1991,1998,8,377,377,0,1807,1295,512,0,932
266,Public Underwriters Grp,1991,1999,9,376,377,-1,1807,1295,512,0,932
266,Public Underwriters Grp,1991,2000,10,374,376,-2,1807,1295,512,0,932
266,Public Underwriters Grp,1992,1992,1,480,120,191,1842,1264,578,0,932
266,Public Underwriters Grp,1992,1993,2,404,225,82,1842,1264,578,0,932
266,Public Underwriters Grp,1992,1994,3,372,277,31,1842,1264,578,0,932
266,Public Underwriters Grp,1992,1995,4,385,339,6,1842,1264,578,0,932
266,Public Underwriters Grp,1992,1996,5,373,361,2,1842,1264,578,0,932
266,Public Underwriters Grp,1992,1997,6,371,370,0,1842,1264,578,0,932
266,Public Underwriters Grp,1992,1998,7,377,372,0,1842,1264,578,0,932
266,Public Underwriters Grp,1992,1999,8,382,379,-2,1842,1264,578,0,932
266,Public Underwriters Grp,1992,2000,9,386,386,0,1842,1264,578,0,932
266,Public Underwriters Grp,1992,2001,10,386,386,0,1842,1264,578,0,932
266,Public Underwriters Grp,1993,1993,1,1550,427,337,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,1994,2,1439,1005,70,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,1995,3,1304,1111,34,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,1996,4,1343,1263,20,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,1997,5,1377,1306,16,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,1998,6,1378,1346,8,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,1999,7,1368,1361,-7,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,2000,8,1377,1376,1,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,2001,9,1451,1416,35,3262,1182,2080,0,932
266,Public Underwriters Grp,1993,2002,10,1520,1416,104,3262,1182,2080,0,932
266,Public Underwriters Grp,1994,1994,1,1602,584,529,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,1995,2,1534,1511,50,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,1996,3,1634,1716,-36,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,1997,4,1851,1817,26,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,1998,5,1862,1909,0,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,1999,6,1904,1933,-49,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,2000,7,1927,1958,-31,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,2001,8,1942,1958,-21,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,2002,9,2050,1958,92,4922,2585,2337,0,932
266,Public Underwriters Grp,1994,2003,10,1988,1958,30,4922,2585,2337,0,932
266,Public Underwriters Grp,1995,1995,1,1341,369,384,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,1996,2,935,741,44,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,1997,3,1089,931,101,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,1998,4,1050,941,47,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,1999,5,1048,1096,1,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,2000,6,1060,1122,-5,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,2001,7,1115,1099,12,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,2002,8,1149,1103,46,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,2003,9,1149,1103,46,4340,2357,1983,0,932
266,Public Underwriters Grp,1995,2004,10,1103,1103,0,4340,2357,1983,0,932
266,Public Underwriters Grp,1996,1996,1,764,294,196,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,1997,2,813,595,136,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,1998,3,777,657,99,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,1999,4,734,704,21,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,2000,5,730,720,8,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,2001,6,717,722,-8,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,2002,7,711,721,-14,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,2003,8,703,721,-18,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,2004,9,721,721,0,2860,1538,1322,0,932
266,Public Underwriters Grp,1996,2005,10,721,721,0,2860,1538,1322,0,932
266,Public Underwriters Grp,1997,1997,1,639,312,120,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,1998,2,784,517,154,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,1999,3,678,599,18,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,2000,4,696,632,15,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,2001,5,707,694,17,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,2002,6,723,708,13,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,2003,7,729,714,15,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,2004,8,714,714,0,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,2005,9,714,714,0,2262,1193,1069,0,932
266,Public Underwriters Grp,1997,2006,10,714,714,0,2262,1193,1069,0,932
337,California Cas Grp,1988,1988,1,4144,361,2955,4276,1251,3025,0,245
337,California Cas Grp,1988,1989,2,3134,905,1651,4276,1251,3025,0,245
337,California Cas Grp,1988,1990,3,1836,1171,153,4276,1251,3025,0,245
337,California Cas Grp,1988,1991,4,1702,1440,56,4276,1251,3025,0,245
337,California Cas Grp,1988,1992,5,1959,1677,194,4276,1251,3025,0,245
337,California Cas Grp,1988,1993,6,1959,1779,170,4276,1251,3025,0,245
337,California Cas Grp,1988,1994,7,1955,1776,177,4276,1251,3025,0,245
337,California Cas Grp,1988,1995,8,1806,1778,27,4276,1251,3025,0,245
337,California Cas Grp,1988,1996,9,1793,1780,12,4276,1251,3025,0,245
337,California Cas Grp,1988,1997,10,1782,1780,2,4276,1251,3025,0,245
337,California Cas Grp,1989,1989,1,2727,247,1645,3624,496,3128,0,245
337,California Cas Grp,1989,1990,2,2343,807,1110,3624,496,3128,0,245
337,California Cas Grp,1989,1991,3,2000,1009,684,3624,496,3128,0,245
337,California Cas Grp,1989,1992,4,1949,1222,535,3624,496,3128,0,245
337,California Cas Grp,1989,1993,5,1949,1393,480,3624,496,3128,0,245
337,California Cas Grp,1989,1994,6,1930,1430,484,3624,496,3128,0,245
337,California Cas Grp,1989,1995,7,1475,1431,27,3624,496,3128,0,245
337,California Cas Grp,1989,1996,8,1467,1438,18,3624,496,3128,0,245
337,California Cas Grp,1989,1997,9,1445,1438,6,3624,496,3128,0,245
337,California Cas Grp,1989,1998,10,1442,1438,4,3624,496,3128,0,245
337,California Cas Grp,1990,1990,1,2470,154,1891,3009,1243,1766,0,245
337,California Cas Grp,1990,1991,2,2502,596,1661,3009,1243,1766,0,245
337,California Cas Grp,1990,1992,3,1600,710,743,3009,1243,1766,0,245
337,California Cas Grp,1990,1993,4,1601,762,690,3009,1243,1766,0,245
337,California Cas Grp,1990,1994,5,1556,869,677,3009,1243,1766,0,245
337,California Cas Grp,1990,1995,6,902,873,27,3009,1243,1766,0,245
337,California Cas Grp,1990,1996,7,899,874,24,3009,1243,1766,0,245
337,California Cas Grp,1990,1997,8,886,874,10,3009,1243,1766,0,245
337,California Cas Grp,1990,1998,9,887,875,12,3009,1243,1766,0,245
337,California Cas Grp,1990,1999,10,882,877,5,3009,1243,1766,0,245
337,California Cas Grp,1991,1991,1,2092,187,1621,2388,-417,2805,0,245
337,California Cas Grp,1991,1992,2,2009,361,1234,2388,-417,2805,0,245
337,California Cas Grp,1991,1993,3,2094,676,1270,2388,-417,2805,0,245
337,California Cas Grp,1991,1994,4,2033,749,1228,2388,-417,2805,0,245
337,California Cas Grp,1991,1995,5,856,785,51,2388,-417,2805,0,245
337,California Cas Grp,1991,1996,6,835,797,30,2388,-417,2805,0,245
337,California Cas Grp,1991,1997,7,815,799,13,2388,-417,2805,0,245
337,California Cas Grp,1991,1998,8,814,800,14,2388,-417,2805,0,245
337,California Cas Grp,1991,1999,9,816,804,12,2388,-417,2805,0,245
337,California Cas Grp,1991,2000,10,819,807,11,2388,-417,2805,0,245
337,California Cas Grp,1992,1992,1,1360,128,946,1543,181,1362,0,245
337,California Cas Grp,1992,1993,2,1223,311,681,1543,181,1362,0,245
337,California Cas Grp,1992,1994,3,1184,399,640,1543,181,1362,0,245
337,California Cas Grp,1992,1995,4,597,531,38,1543,181,1362,0,245
337,California Cas Grp,1992,1996,5,596,549,36,1543,181,1362,0,245
337,California Cas Grp,1992,1997,6,573,552,16,1543,181,1362,0,245
337,California Cas Grp,1992,1998,7,572,554,16,1543,181,1362,0,245
337,California Cas Grp,1992,1999,8,573,560,13,1543,181,1362,0,245
337,California Cas Grp,1992,2000,9,582,560,22,1543,181,1362,0,245
337,California Cas Grp,1992,2001,10,586,574,11,1543,181,1362,0,245
337,California Cas Grp,1993,1993,1,413,45,247,623,234,389,0,245
337,California Cas Grp,1993,1994,2,377,107,166,623,234,389,0,245
337,California Cas Grp,1993,1995,3,225,172,33,623,234,389,0,245
337,California Cas Grp,1993,1996,4,226,176,41,623,234,389,0,245
337,California Cas Grp,1993,1997,5,199,178,19,623,234,389,0,245
337,California Cas Grp,1993,1998,6,200,180,17,623,234,389,0,245
337,California Cas Grp,1993,1999,7,198,181,17,623,234,389,0,245
337,California Cas Grp,1993,2000,8,207,181,26,623,234,389,0,245
337,California Cas Grp,1993,2001,9,205,183,22,623,234,389,0,245
337,California Cas Grp,1993,2002,10,190,183,7,623,234,389,0,245
337,California Cas Grp,1994,1994,1,193,29,68,252,30,221,0,245
337,California Cas Grp,1994,1995,2,126,71,11,252,30,221,0,245
337,California Cas Grp,1994,1996,3,161,96,36,252,30,221,0,245
337,California Cas Grp,1994,1997,4,140,116,22,252,30,221,0,245
337,California Cas Grp,1994,1998,5,142,117,24,252,30,221,0,245
337,California Cas Grp,1994,1999,6,138,119,18,252,30,221,0,245
337,California Cas Grp,1994,2000,7,146,119,27,252,30,221,0,245
337,California Cas Grp,1994,2001,8,147,121,25,252,30,221,0,245
337,California Cas Grp,1994,2002,9,128,121,7,252,30,221,0,245
337,California Cas Grp,1994,2003,10,133,121,12,252,30,221,0,245
337,California Cas Grp,1995,1995,1,102,20,6,270,-4,274,0,245
337,California Cas Grp,1995,1996,2,181,91,24,270,-4,274,0,245
337,California Cas Grp,1995,1997,3,150,103,30,270,-4,274,0,245
337,California Cas Grp,1995,1998,4,144,115,28,270,-4,274,0,245
337,California Cas Grp,1995,1999,5,141,117,23,270,-4,274,0,245
337,California Cas Grp,1995,2000,6,150,119,30,270,-4,274,0,245
337,California Cas Grp,1995,2001,7,149,122,27,270,-4,274,0,245
337,California Cas Grp,1995,2002,8,130,122,8,270,-4,274,0,245
337,California Cas Grp,1995,2003,9,134,122,12,270,-4,274,0,245
337,California Cas Grp,1995,2004,10,128,122,5,270,-4,274,0,245
337,California Cas Grp,1996,1996,1,75,8,9,-29,0,-29,0,245
337,California Cas Grp,1996,1997,2,117,100,6,-29,0,-29,0,245
337,California Cas Grp,1996,1998,3,107,105,0,-29,0,-29,0,245
337,California Cas Grp,1996,1999,4,108,108,0,-29,0,-29,0,245
337,California Cas Grp,1996,2000,5,109,109,0,-29,0,-29,0,245
337,California Cas Grp,1996,2001,6,140,110,30,-29,0,-29,0,245
337,California Cas Grp,1996,2002,7,118,110,8,-29,0,-29,0,245
337,California Cas Grp,1996,2003,8,110,110,0,-29,0,-29,0,245
337,California Cas Grp,1996,2004,9,110,110,0,-29,0,-29,0,245
337,California Cas Grp,1996,2005,10,111,111,0,-29,0,-29,0,245
337,California Cas Grp,1997,1997,1,5,0,0,1,7,-6,0,245
337,California Cas Grp,1997,1998,2,10,5,0,1,7,-6,0,245
337,California Cas Grp,1997,1999,3,10,10,0,1,7,-6,0,245
337,California Cas Grp,1997,2000,4,15,14,0,1,7,-6,0,245
337,California Cas Grp,1997,2001,5,18,17,0,1,7,-6,0,245
337,California Cas Grp,1997,2002,6,24,18,7,1,7,-6,0,245
337,California Cas Grp,1997,2003,7,18,18,0,1,7,-6,0,245
337,California Cas Grp,1997,2004,8,18,18,0,1,7,-6,0,245
337,California Cas Grp,1997,2005,9,18,18,0,1,7,-6,0,245
337,California Cas Grp,1997,2006,10,18,18,0,1,7,-6,0,245
353,Celina Mut Grp,1988,1988,1,3087,952,1365,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1989,2,3830,1529,0,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1990,3,3729,2813,126,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1991,4,3856,3647,21,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1992,5,3893,3724,20,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1993,6,3905,3832,10,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1994,7,3918,3899,0,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1995,8,3918,3907,0,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1996,9,3917,3911,0,7820,2008,5812,0,6278
353,Celina Mut Grp,1988,1997,10,3917,3912,0,7820,2008,5812,0,6278
353,Celina Mut Grp,1989,1989,1,3167,849,1586,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1990,2,2850,1564,658,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1991,3,2690,2202,162,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1992,4,2533,2432,0,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1993,5,2528,2468,0,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1994,6,2533,2487,3,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1995,7,2543,2513,9,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1996,8,2544,2526,3,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1997,9,2539,2531,1,6875,1967,4908,0,6278
353,Celina Mut Grp,1989,1998,10,2533,2527,1,6875,1967,4908,0,6278
353,Celina Mut Grp,1990,1990,1,3436,983,1602,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1991,2,3493,2211,484,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1992,3,3583,2830,95,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1993,4,4030,3832,30,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1994,5,4112,4039,7,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1995,6,4088,4065,1,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1996,7,4114,4102,2,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1997,8,4172,4155,2,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1998,9,4271,4268,0,7173,1719,5454,0,6278
353,Celina Mut Grp,1990,1999,10,4279,4274,0,7173,1719,5454,0,6278
353,Celina Mut Grp,1991,1991,1,4039,1657,1734,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,1992,2,3975,2685,502,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,1993,3,3799,3169,86,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,1994,4,4041,3600,23,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,1995,5,4320,3900,25,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,1996,6,4334,4320,0,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,1997,7,4343,4332,0,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,1998,8,4340,4338,0,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,1999,9,4342,4341,0,7066,1901,5165,0,6278
353,Celina Mut Grp,1991,2000,10,4341,4341,0,7066,1901,5165,0,6278
353,Celina Mut Grp,1992,1992,1,3438,932,1606,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,1993,2,3175,1940,550,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,1994,3,3240,2626,154,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,1995,4,3565,3332,72,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,1996,5,3551,3368,30,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,1997,6,3568,3491,5,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,1998,7,3544,3531,2,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,1999,8,3541,3540,0,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,2000,9,3541,3540,0,7126,1912,5214,0,6278
353,Celina Mut Grp,1992,2001,10,3592,3583,5,7126,1912,5214,0,6278
353,Celina Mut Grp,1993,1993,1,4282,1162,1993,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,1994,2,4322,2402,1162,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,1995,3,3670,2799,516,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,1996,4,3334,2996,130,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,1997,5,3285,3034,95,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,1998,6,3266,3042,60,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,1999,7,3418,3230,67,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,2000,8,3304,3238,15,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,2001,9,3272,3241,5,6865,1634,5230,0,6278
353,Celina Mut Grp,1993,2002,10,3268,3268,0,6865,1634,5230,0,6278
353,Celina Mut Grp,1994,1994,1,4064,1478,1183,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,1995,2,4734,2980,480,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,1996,3,5156,3945,315,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,1997,4,5311,4714,135,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,1998,5,5631,5462,80,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,1999,6,5794,5680,105,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,2000,7,5683,5682,0,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,2001,8,5693,5683,5,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,2002,9,5684,5684,0,7139,2148,4992,0,6278
353,Celina Mut Grp,1994,2003,10,5684,5684,0,7139,2148,4992,0,6278
353,Celina Mut Grp,1995,1995,1,4189,1240,1700,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,1996,2,3881,2080,925,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,1997,3,3950,2607,568,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,1998,4,3955,3080,200,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,1999,5,4351,3678,203,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,2000,6,4223,4116,100,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,2001,7,4137,4117,11,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,2002,8,4129,4125,2,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,2003,9,4128,4128,0,7345,1879,5466,0,6278
353,Celina Mut Grp,1995,2004,10,4128,4128,0,7345,1879,5466,0,6278
353,Celina Mut Grp,1996,1996,1,4270,1326,1729,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,1997,2,4032,2412,725,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,1998,3,4034,3367,245,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,1999,4,4236,3843,263,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,2000,5,4171,3965,140,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,2001,6,4197,4127,40,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,2002,7,4143,4133,0,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,2003,8,4142,4141,0,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,2004,9,4144,4142,0,7106,1880,5226,0,6278
353,Celina Mut Grp,1996,2005,10,4144,4144,0,7106,1880,5226,0,6278
353,Celina Mut Grp,1997,1997,1,3332,1413,1129,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,1998,2,3622,2683,688,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,1999,3,3948,3173,340,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,2000,4,4147,3674,170,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,2001,5,4137,3805,97,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,2002,6,4156,4005,35,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,2003,7,4172,4020,25,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,2004,8,4180,4095,25,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,2005,9,4198,4132,15,6523,1562,4962,0,6278
353,Celina Mut Grp,1997,2006,10,4196,4139,15,6523,1562,4962,0,6278
388,Federal Ins Co Grp,1988,1988,1,75802,13457,26167,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1989,2,67043,34825,7891,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1990,3,66213,47886,6270,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1991,4,63829,54133,2401,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1992,5,62156,58087,805,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1993,6,61295,58570,184,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1994,7,60544,59505,26,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1995,8,60346,60207,11,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1996,9,60502,60312,7,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1988,1997,10,60516,60516,0,112466,20765,91701,0,176901
388,Federal Ins Co Grp,1989,1989,1,70154,19839,23238,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1990,2,67812,35763,6719,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1991,3,68565,50410,2897,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1992,4,66837,57288,2771,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1993,5,65967,59881,1229,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1994,6,65642,61554,577,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1995,7,65072,63265,335,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1996,8,65193,64574,247,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1997,9,65923,65511,180,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1989,1998,10,65397,65212,140,109463,17558,91905,0,176901
388,Federal Ins Co Grp,1990,1990,1,66582,12539,23601,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1991,2,66119,39729,8147,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1992,3,64969,50719,3028,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1993,4,64568,55531,1318,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1994,5,63758,58555,766,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1995,6,64074,59949,577,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1996,7,63957,62243,329,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1997,8,63904,62626,234,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1998,9,63787,62465,221,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1990,1999,10,63233,62896,0,113865,19373,94492,0,176901
388,Federal Ins Co Grp,1991,1991,1,74394,10985,24836,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,1992,2,72389,43846,10489,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,1993,3,69512,53507,5223,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,1994,4,67056,56949,1930,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,1995,5,66988,61031,1366,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,1996,6,66923,63387,659,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,1997,7,66427,64518,358,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,1998,8,66438,65491,727,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,1999,9,66433,65683,88,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1991,2000,10,66035,65849,76,121694,18333,103361,0,176901
388,Federal Ins Co Grp,1992,1992,1,78699,8211,18496,124621,19063,105558,0,176901
388,Federal Ins Co Grp,1992,1993,2,80785,47369,5564,124621,19063,105558,0,176901
388,Federal Ins Co Grp,1992,1994,3,80657,60200,2058,124621,19063,105558,0,176901
388,Federal Ins Co Grp,1992,1995,4,80478,67407,1610,124621,19063,105558,0,176901
